[[1, 6, 7], [10, 5, 4], [0, 9, 2], [3, 13, 12], [8, 11, 14]]
[[0, 8, 13], [2, 1, 3], [7, 9, 14], [5, 4, 10], [12, 6, 11]]
[[4, 2, 8], [6, 3, 7], [1, 10, 13], [14, 5, 9], [0, 11, 12]]
[[9, 1, 3], [6, 2, 12], [14, 5, 7], [8, 0, 11], [13, 4, 10]]
[[8, 10, 7], [13, 5, 4], [11, 1, 2], [6, 9, 0], [14, 3, 12]]
[[12, 6, 4], [3, 8, 9], [2, 14, 13], [11, 10, 1], [7, 5, 0]]
[[10, 2, 0], [7, 9, 13], [3, 14, 8], [11, 5, 1], [6, 12, 4]]
[[0, 11, 4], [14, 6, 10], [3, 12, 9], [2, 8, 1], [5, 7, 13]]
[[13, 1, 6], [4, 0, 5], [14, 8, 2], [12, 3, 7], [9, 11, 10]]
[[9, 10, 7], [12, 2, 4], [11, 0, 14], [13, 6, 3], [1, 8, 5]]
[[2, 9, 13], [11, 0, 1], [6, 8, 14], [5, 3, 12], [7, 4, 10]]
[[11, 14, 7], [12, 4, 3], [13, 1, 0], [10, 5, 9], [6, 2, 8]]
[[12, 14, 0], [5, 1, 3], [13, 4, 6], [10, 9, 7], [8, 11, 2]]
[[3, 13, 14], [7, 12, 5], [2, 6, 11], [1, 9, 8], [0, 10, 4]]
[[10, 3, 5], [7, 8, 6], [14, 12, 13], [1, 2, 11], [9, 4, 0]]
[[14, 9, 2], [7, 1, 12], [13, 11, 6], [10, 3, 0], [5, 4, 8]]
[[0, 13, 9], [8, 11, 10], [14, 2, 3], [4, 6, 1], [12, 7, 5]]
[[8, 10, 14], [7, 6, 11], [9, 0, 3], [2, 5, 1], [12, 13, 4]]
[[8, 5, 3], [1, 13, 7], [0, 4, 12], [6, 14, 2], [11, 9, 10]]
[[3, 11, 9], [2, 4, 8], [5, 1, 12], [0, 7, 10], [6, 13, 14]]
[[10, 2, 4], [11, 6, 12], [1, 5, 8], [0, 7, 13], [9, 3, 14]]
[[7, 11, 13], [12, 1, 10], [8, 6, 9], [4, 5, 3], [0, 2, 14]]
[[3, 14, 6], [5, 13, 9], [4, 10, 0], [12, 1, 2], [11, 8, 7]]
[[1, 3, 9], [12, 10, 4], [6, 11, 2], [14, 7, 8], [13, 0, 5]]
[[5, 10, 11], [1, 9, 6], [3, 4, 14], [2, 8, 12], [7, 0, 13]]
[[14, 11, 9], [2, 12, 4], [7, 6, 13], [3, 1, 10], [5, 0, 8]]
[[4, 14, 1], [2, 9, 8], [10, 11, 12], [0, 3, 6], [13, 7, 5]]
[[11, 14, 6], [13, 8, 4], [2, 12, 9], [1, 7, 0], [10, 5, 3]]
[[0, 1, 7], [6, 9, 5], [14, 2, 12], [4, 3, 10], [11, 13, 8]]
[[5, 4, 2], [8, 1, 9], [0, 13, 12], [3, 10, 14], [11, 6, 7]]
[[11, 3, 2], [9, 14, 5], [4, 0, 6], [8, 10, 12], [7, 1, 13]]
[[8, 14, 2], [6, 5, 1], [9, 12, 13], [10, 0, 7], [11, 4, 3]]
[[11, 5, 6], [12, 10, 1], [0, 13, 3], [4, 14, 9], [8, 2, 7]]
[[8, 10, 9], [1, 2, 6], [14, 11, 12], [4, 3, 0], [5, 7, 13]]
[[9, 8, 3], [11, 12, 5], [1, 7, 2], [10, 13, 4], [0, 14, 6]]
[[10, 5, 2], [11, 4, 8], [14, 12, 6], [7, 13, 1], [3, 0, 9]]
[[8, 2, 13], [11, 3, 1], [10, 0, 12], [14, 5, 6], [7, 9, 4]]
[[8, 14, 2], [0, 4, 11], [3, 13, 1], [7, 9, 5], [12, 6, 10]]
[[1, 6, 8], [2, 7, 10], [14, 4, 13], [9, 0, 11], [3, 12, 5]]
[[13, 9, 1], [12, 11, 14], [3, 0, 5], [8, 4, 6], [10, 7, 2]]
[[4, 1, 3], [9, 12, 10], [5, 8, 6], [13, 14, 0], [2, 11, 7]]
