[[12, 5, 15], [10, 14, 13], [4, 3, 8], [6, 7, 11], [0, 1, 2, 9]]
[[6, 15, 5], [4, 2, 10], [14, 12, 9], [8, 0, 3], [7, 13, 1, 11]]
[[11, 4, 7], [10, 5, 0], [12, 14, 6], [3, 1, 2], [8, 15, 9, 13]]
[[3, 14, 13], [15, 10, 1], [7, 9, 6], [5, 11, 8], [2, 12, 0, 4]]
[[0, 15, 8], [13, 11, 10], [7, 9, 3], [5, 2, 12], [6, 4, 14, 1]]
[[1, 2, 5], [10, 3, 13], [7, 8, 4], [12, 11, 9], [6, 0, 14, 15]]
[[2, 10, 4], [13, 1, 15], [8, 6, 12], [7, 14, 3], [0, 11, 5, 9]]
[[10, 0, 2], [8, 13, 14], [4, 3, 9], [7, 11, 12], [6, 1, 5, 15]]
[[11, 14, 7], [13, 10, 4], [8, 2, 5], [0, 6, 3], [15, 12, 1, 9]]
[[14, 1, 10], [8, 11, 12], [3, 0, 9], [5, 7, 2], [4, 15, 6, 13]]
[[15, 13, 11], [0, 8, 4], [6, 14, 2], [12, 7, 1], [5, 9, 3, 10]]
[[11, 4, 2], [6, 12, 1], [0, 8, 14], [7, 15, 3], [10, 5, 9, 13]]
[[5, 1, 11], [10, 9, 14], [8, 0, 15], [6, 4, 13], [3, 12, 2, 7]]
[[1, 4, 14], [2, 12, 0], [7, 5, 3], [13, 11, 10], [8, 9, 6, 15]]
[[13, 0, 10], [14, 4, 7], [1, 8, 3], [11, 6, 12], [2, 15, 9, 5]]
[[4, 8, 9], [14, 1, 5], [12, 11, 13], [6, 0, 15], [2, 7, 10, 3]]
[[9, 11, 8], [10, 12, 0], [6, 13, 15], [2, 4, 7], [3, 5, 1, 14]]
[[15, 4, 12], [5, 10, 11], [13, 14, 3], [7, 8, 2], [9, 6, 1, 0]]
[[12, 7, 13], [5, 8, 11], [14, 10, 1], [2, 3, 4], [6, 15, 0, 9]]
[[5, 12, 15], [8, 13, 14], [6, 10, 0], [11, 1, 7], [3, 4, 2, 9]]
[[6, 0, 15], [5, 4, 1], [14, 7, 8], [12, 11, 2], [3, 9, 10, 13]]
[[15, 0, 14], [12, 3, 2], [8, 7, 9], [1, 11, 6], [5, 4, 10, 13]]
[[7, 10, 0], [8, 9, 14], [6, 3, 11], [1, 13, 5], [12, 2, 15, 4]]
[[11, 4, 3], [9, 1, 12], [0, 8, 15], [13, 5, 6], [7, 2, 10, 14]]
[[8, 5, 15], [3, 11, 1], [14, 0, 7], [9, 12, 13], [10, 6, 2, 4]]
[[3, 9, 8], [1, 12, 6], [14, 7, 0], [10, 13, 11], [5, 2, 15, 4]]
[[2, 5, 1], [14, 4, 6], [10, 8, 12], [15, 7, 0], [9, 11, 3, 13]]
[[13, 3, 7], [14, 9, 1], [2, 12, 10], [8, 11, 0], [5, 15, 6, 4]]
[[0, 9, 2], [5, 8, 1], [7, 6, 14], [15, 11, 10], [13, 3, 4, 12]]
[[7, 13, 9], [5, 2, 14], [10, 15, 4], [11, 0, 6], [3, 1, 12, 8]]
[[6, 11, 13], [14, 4, 2], [5, 0, 1], [7, 3, 10], [9, 15, 8, 12]]
[[5, 4, 7], [8, 14, 3], [10, 15, 9], [6, 12, 0], [11, 1, 13, 2]]
[[8, 9, 7], [12, 13, 0], [1, 11, 5], [14, 6, 3], [10, 15, 2, 4]]
[[4, 3, 0], [5, 6, 10], [7, 2, 11], [12, 15, 14], [8, 9, 13, 1]]
[[1, 5, 6], [12, 13, 8], [3, 0, 4], [11, 9, 14], [7, 10, 2, 15]]
[[0, 4, 2], [9, 6, 11], [5, 13, 12], [14, 8, 15], [10, 7, 3, 1]]
[[3, 1, 4], [14, 15, 5], [9, 7, 2], [8, 10, 13], [12, 11, 0, 6]]
[[9, 0, 7], [13, 10, 1], [12, 15, 5], [4, 6, 11], [3, 8, 14, 2]]
[[15, 8, 10], [5, 11, 7], [13, 9, 0], [6, 14, 1], [2, 4, 12, 3]]
[[12, 1, 10], [8, 6, 15], [2, 5, 3], [13, 14, 9], [7, 11, 4, 0]]
[[5, 8, 4], [1, 15, 11], [12, 14, 7], [3, 2, 10], [13, 9, 6, 0]]
[[8, 0, 15], [9, 2, 5], [10, 3, 12], [7, 13, 11], [6, 4, 1, 14]]
[[15, 11, 3], [6, 14, 8], [7, 13, 10], [9, 5, 2], [1, 12, 0, 4]]
[[3, 10, 11], [2, 6, 9], [12, 1, 4], [0, 15, 13], [8, 7, 5, 14]]
[[2, 9, 7], [13, 11, 8], [1, 14, 6], [0, 4, 15], [3, 5, 10, 12]]
[[0, 9, 14], [6, 11, 8], [15, 13, 7], [10, 5, 3], [12, 1, 2, 4]]
[[0, 12, 6], [1, 11, 2], [10, 9, 15], [14, 8, 7], [5, 13, 4, 3]]
[[5, 15, 12], [8, 13, 11], [4, 14, 1], [7, 2, 10], [0, 6, 9, 3]]
[[7, 5, 13], [8, 10, 6], [2, 11, 14], [12, 15, 0], [3, 9, 1, 4]]
[[7, 6, 9], [2, 3, 1], [14, 0, 15], [10, 4, 11], [8, 12, 5, 13]]
[[11, 0, 13], [6, 12, 15], [7, 3, 14], [5, 4, 9], [1, 8, 2, 10]]
[[4, 14, 11], [10, 6, 3], [0, 12, 5], [15, 7, 2], [9, 8, 13, 1]]
[[8, 10, 5], [11, 15, 1], [4, 14, 12], [3, 9, 2], [6, 7, 0, 13]]
[[7, 1, 12], [4, 11, 0], [2, 10, 5], [3, 14, 8], [13, 15, 6, 9]]
[[12, 11, 13], [3, 10, 4], [7, 2, 1], [14, 0, 6], [8, 15, 9, 5]]
[[3, 11, 9], [1, 4, 13], [7, 0, 8], [12, 2, 6], [10, 14, 15, 5]]
[[0, 6, 12], [1, 2, 9], [14, 15, 3], [11, 7, 4], [10, 13, 5, 8]]
[[1, 5, 8], [13, 4, 7], [11, 12, 10], [2, 14, 0], [15, 6, 9, 3]]
