[[2, 10, 5], [15, 14, 8], [3, 9, 7], [11, 0, 1, 4], [16, 6, 13, 12]]
[[0, 13, 7], [4, 2, 8], [3, 15, 14], [9, 5, 16, 6], [10, 12, 11, 1]]
[[2, 0, 14], [10, 5, 1], [3, 11, 12], [6, 13, 7, 4], [16, 9, 8, 15]]
[[4, 13, 0], [14, 11, 7], [5, 15, 16], [9, 3, 12, 2], [6, 10, 8, 1]]
[[10, 5, 14], [6, 3, 13], [7, 9, 0], [16, 11, 15, 8], [4, 2, 1, 12]]
[[13, 0, 8], [15, 5, 2], [12, 16, 6], [1, 3, 10, 7], [9, 14, 11, 4]]
[[14, 5, 8], [4, 13, 10], [16, 9, 3], [6, 12, 11, 1], [7, 15, 0, 2]]
[[3, 8, 1], [2, 16, 9], [6, 14, 10], [15, 13, 5, 4], [12, 0, 11, 7]]
[[15, 8, 2], [16, 1, 10], [7, 3, 11], [14, 12, 4, 5], [6, 13, 0, 9]]
[[15, 3, 9], [14, 6, 13], [7, 10, 8], [12, 2, 11, 16], [0, 1, 5, 4]]
[[12, 2, 16], [1, 0, 6], [7, 15, 13], [3, 8, 4, 11], [14, 9, 10, 5]]
[[15, 3, 6], [4, 5, 9], [14, 8, 13], [1, 7, 11, 10], [12, 2, 16, 0]]
[[12, 16, 9], [15, 5, 10], [13, 4, 3], [1, 8, 0, 14], [7, 2, 6, 11]]
[[7, 0, 14], [12, 3, 11], [13, 5, 2], [15, 1, 10, 8], [16, 4, 9, 6]]
[[0, 5, 12], [9, 6, 11], [10, 7, 16], [15, 14, 2, 8], [3, 13, 4, 1]]
[[16, 7, 1], [11, 0, 10], [4, 6, 2], [9, 13, 5, 14], [8, 3, 15, 12]]
[[2, 15, 8], [13, 10, 3], [0, 1, 11], [5, 16, 6, 7], [9, 4, 14, 12]]
[[16, 11, 14], [15, 0, 12], [13, 7, 8], [3, 5, 10, 6], [9, 1, 4, 2]]
[[12, 16, 5], [6, 4, 14], [0, 2, 10], [7, 3, 9, 1], [15, 8, 13, 11]]
[[9, 15, 6], [4, 10, 11], [14, 7, 5], [0, 12, 8, 16], [2, 1, 13, 3]]
[[16, 15, 7], [4, 14, 1], [13, 10, 11], [0, 2, 12, 5], [8, 9, 6, 3]]
[[3, 0, 5], [8, 1, 4], [6, 16, 12], [9, 7, 14, 15], [2, 13, 11, 10]]
[[15, 1, 10], [16, 12, 11], [4, 3, 7], [0, 5, 2, 14], [9, 8, 6, 13]]
[[13, 12, 5], [2, 0, 14], [11, 9, 8], [1, 4, 10, 7], [3, 15, 6, 16]]
[[4, 2, 7], [1, 9, 11], [0, 15, 3], [5, 14, 6, 13], [12, 10, 8, 16]]
[[1, 4, 16], [3, 14, 8], [5, 7, 12], [13, 2, 9, 0], [11, 10, 15, 6]]
[[2, 4, 12], [0, 3, 5], [14, 6, 13], [8, 11, 1, 16], [7, 9, 10, 15]]
[[10, 15, 8], [1, 9, 3], [11, 12, 4], [14, 5, 6, 0], [7, 16, 13, 2]]
[[2, 4, 15], [3, 10, 1], [0, 14, 12], [9, 8, 11, 7], [13, 5, 16, 6]]
[[1, 3, 16], [14, 10, 11], [13, 12, 7], [9, 4, 6, 15], [2, 5, 0, 8]]
[[15, 1, 0], [10, 2, 6], [3, 5, 14], [11, 9, 8, 4], [12, 13, 16, 7]]
[[2, 0, 5], [15, 14, 13], [4, 10, 12], [9, 16, 6, 7], [8, 3, 11, 1]]
[[4, 7, 11], [13, 16, 0], [15, 6, 10], [8, 1, 2, 9], [14, 5, 12, 3]]
[[8, 6, 14], [11, 0, 16], [5, 2, 9], [10, 3, 12, 15], [1, 13, 4, 7]]
[[16, 0, 1], [4, 8, 13], [3, 15, 9], [11, 6, 12, 14], [2, 7, 10, 5]]
[[16, 0, 4], [7, 10, 12], [3, 13, 8], [14, 2, 6, 5], [9, 11, 1, 15]]
[[4, 2, 12], [15, 10, 8], [16, 9, 6], [14, 11, 13, 7], [0, 3, 1, 5]]
