[[3, 10, 12], [15, 8, 14], [9, 7, 2], [13, 11, 5], [0, 1, 17], [6, 4, 16]]
[[4, 11, 10], [7, 8, 14], [3, 2, 0], [17, 6, 1], [5, 9, 15], [16, 12, 13]]
[[13, 8, 15], [6, 7, 17], [16, 2, 9], [10, 3, 0], [14, 12, 1], [11, 5, 4]]
[[8, 6, 3], [5, 2, 10], [14, 16, 0], [7, 15, 11], [13, 12, 17], [1, 4, 9]]
[[8, 0, 17], [10, 11, 13], [5, 9, 4], [12, 3, 2], [1, 16, 15], [6, 14, 7]]
[[10, 13, 11], [6, 9, 0], [1, 8, 17], [4, 2, 14], [5, 3, 12], [7, 15, 16]]
[[8, 3, 12], [16, 17, 10], [9, 15, 11], [1, 6, 0], [5, 14, 7], [4, 2, 13]]
[[12, 16, 10], [14, 0, 13], [11, 6, 2], [1, 17, 15], [5, 4, 9], [7, 8, 3]]
[[12, 4, 0], [3, 2, 16], [15, 14, 9], [10, 17, 11], [5, 7, 6], [1, 8, 13]]
[[8, 9, 10], [11, 6, 15], [13, 3, 1], [17, 14, 2], [4, 7, 12], [5, 0, 16]]
[[3, 8, 6], [15, 7, 4], [17, 2, 10], [16, 0, 12], [13, 9, 1], [5, 11, 14]]
[[6, 1, 10], [14, 13, 9], [15, 8, 4], [5, 3, 0], [7, 11, 16], [2, 17, 12]]
[[13, 8, 12], [3, 16, 0], [7, 10, 5], [15, 17, 2], [4, 9, 14], [1, 6, 11]]
[[7, 13, 17], [5, 16, 2], [8, 1, 0], [10, 3, 12], [4, 15, 14], [6, 9, 11]]
[[15, 4, 11], [12, 3, 16], [13, 6, 7], [8, 17, 10], [5, 0, 2], [9, 1, 14]]
[[5, 12, 14], [0, 15, 1], [9, 3, 8], [13, 2, 11], [6, 16, 17], [7, 4, 10]]
[[4, 10, 1], [15, 12, 8], [0, 14, 5], [2, 9, 13], [6, 11, 7], [3, 17, 16]]
[[7, 14, 6], [0, 3, 11], [2, 9, 15], [10, 1, 4], [17, 8, 16], [13, 12, 5]]
[[6, 3, 7], [15, 8, 17], [13, 9, 4], [12, 14, 11], [2, 1, 5], [10, 16, 0]]
[[10, 14, 13], [1, 5, 15], [12, 17, 3], [7, 8, 2], [4, 6, 16], [9, 11, 0]]
