[[6, 5, 7], [18, 0, 12], [17, 4, 10], [3, 2, 13], [14, 1, 8], [9, 15, 16, 11]]
[[5, 16, 15], [10, 0, 1], [8, 7, 9], [4, 18, 13], [11, 2, 12], [14, 6, 3, 17]]
[[12, 2, 15], [10, 6, 11], [17, 3, 14], [4, 18, 13], [16, 1, 8], [9, 7, 5, 0]]
[[1, 6, 13], [8, 0, 18], [14, 2, 4], [7, 10, 12], [15, 11, 9], [3, 16, 17, 5]]
[[8, 6, 3], [10, 1, 0], [9, 12, 16], [14, 4, 11], [13, 5, 2], [15, 17, 18, 7]]
[[17, 0, 15], [14, 4, 12], [2, 16, 5], [10, 13, 6], [18, 7, 9], [1, 11, 8, 3]]
[[7, 9, 17], [12, 16, 0], [1, 2, 8], [5, 4, 10], [11, 13, 15], [14, 18, 6, 3]]
[[7, 1, 10], [8, 0, 11], [3, 2, 15], [16, 18, 9], [17, 13, 4], [12, 6, 5, 14]]
[[10, 5, 8], [18, 2, 15], [14, 3, 0], [6, 17, 9], [11, 12, 7], [1, 16, 4, 13]]
[[9, 10, 14], [3, 8, 7], [18, 12, 11], [6, 16, 5], [17, 15, 2], [0, 13, 4, 1]]
[[4, 16, 15], [9, 1, 3], [13, 0, 8], [11, 18, 5], [17, 2, 12], [14, 7, 10, 6]]
[[15, 6, 9], [13, 4, 14], [18, 7, 11], [8, 5, 16], [0, 12, 2], [1, 17, 10, 3]]
[[2, 15, 0], [6, 4, 17], [14, 1, 13], [7, 8, 10], [5, 9, 18], [3, 12, 16, 11]]
[[17, 4, 14], [10, 1, 3], [15, 18, 0], [8, 5, 6], [11, 13, 7], [9, 2, 12, 16]]
[[6, 17, 2], [10, 11, 14], [9, 8, 18], [5, 15, 12], [4, 0, 1], [3, 13, 7, 16]]
[[7, 5, 11], [1, 16, 17], [6, 18, 9], [3, 0, 10], [2, 12, 4], [15, 13, 8, 14]]
[[11, 17, 10], [3, 8, 15], [7, 4, 18], [6, 0, 16], [1, 12, 9], [2, 14, 5, 13]]
[[0, 8, 10], [16, 9, 13], [7, 5, 18], [14, 17, 6], [12, 2, 3], [1, 15, 11, 4]]
