[[9, 5, 4], [15, 14, 8], [19, 17, 0], [10, 13, 18], [7, 1, 16, 6], [3, 2, 12, 11]]
[[1, 8, 19], [4, 11, 7], [13, 12, 18], [6, 9, 10], [16, 17, 3, 14], [2, 0, 5, 15]]
[[9, 11, 3], [15, 19, 7], [14, 17, 13], [10, 0, 5], [2, 4, 8, 1], [18, 12, 16, 6]]
[[5, 18, 7], [15, 14, 4], [16, 1, 13], [8, 6, 2], [17, 11, 0, 19], [3, 10, 12, 9]]
[[14, 12, 7], [3, 0, 17], [8, 19, 16], [10, 4, 11], [18, 2, 9, 6], [1, 15, 13, 5]]
[[15, 7, 5], [2, 19, 0], [9, 10, 1], [13, 4, 14], [12, 17, 18, 6], [16, 3, 11, 8]]
[[3, 11, 2], [0, 6, 5], [14, 13, 15], [16, 9, 10], [4, 19, 18, 7], [12, 17, 1, 8]]
[[10, 14, 13], [16, 7, 2], [17, 5, 11], [4, 8, 0], [3, 9, 6, 12], [15, 19, 1, 18]]
[[13, 16, 5], [6, 4, 19], [10, 1, 11], [3, 8, 17], [12, 2, 15, 14], [0, 18, 7, 9]]
[[0, 15, 8], [10, 13, 2], [17, 3, 9], [5, 12, 6], [18, 11, 7, 1], [14, 16, 4, 19]]
[[11, 16, 6], [13, 2, 14], [18, 10, 5], [17, 3, 1], [8, 19, 9, 7], [4, 15, 12, 0]]
[[0, 7, 4], [10, 5, 6], [16, 18, 13], [17, 2, 3], [15, 14, 1, 8], [9, 11, 12, 19]]
[[10, 12, 14], [7, 9, 0], [15, 1, 2], [16, 19, 3], [18, 13, 8, 4], [17, 5, 11, 6]]
[[9, 13, 18], [11, 3, 16], [10, 8, 7], [17, 15, 5], [19, 12, 6, 2], [0, 4, 14, 1]]
[[17, 11, 3], [18, 16, 0], [13, 6, 9], [1, 19, 5], [14, 4, 12, 10], [2, 15, 8, 7]]
[[13, 6, 17], [14, 16, 9], [12, 1, 10], [15, 19, 8], [5, 7, 0, 4], [3, 2, 18, 11]]
[[15, 7, 18], [9, 1, 19], [12, 16, 3], [13, 11, 14], [5, 17, 2, 10], [4, 0, 6, 8]]
[[12, 10, 14], [3, 5, 7], [18, 1, 8], [6, 19, 16], [11, 13, 4, 17], [9, 0, 2, 15]]
[[9, 13, 7], [12, 16, 3], [10, 18, 2], [19, 8, 17], [5, 14, 1, 0], [6, 15, 4, 11]]
[[19, 10, 7], [9, 13, 16], [2, 12, 0], [4, 6, 8], [3, 15, 14, 11], [17, 1, 18, 5]]
[[11, 14, 6], [2, 18, 15], [7, 10, 8], [19, 3, 13], [16, 1, 5, 4], [0, 12, 9, 17]]
[[18, 6, 0], [10, 9, 2], [14, 13, 8], [3, 1, 16], [19, 11, 17, 7], [12, 4, 5, 15]]
[[13, 0, 14], [3, 1, 2], [18, 11, 4], [8, 19, 6], [9, 12, 15, 5], [17, 7, 16, 10]]
[[4, 3, 15], [19, 18, 0], [11, 7, 10], [12, 13, 8], [17, 14, 1, 6], [16, 5, 9, 2]]
[[15, 11, 1], [9, 2, 0], [19, 10, 12], [4, 5, 14], [16, 7, 8, 3], [13, 17, 6, 18]]
[[1, 11, 18], [5, 12, 7], [16, 3, 8], [0, 4, 6], [13, 14, 10, 9], [15, 2, 17, 19]]
[[18, 17, 7], [2, 4, 8], [6, 14, 19], [13, 16, 10], [1, 3, 11, 0], [15, 12, 9, 5]]
[[2, 16, 5], [17, 11, 15], [9, 13, 8], [19, 7, 0], [10, 6, 12, 14], [1, 18, 4, 3]]
[[3, 19, 13], [10, 9, 8], [6, 4, 1], [14, 18, 0], [5, 15, 2, 16], [7, 12, 17, 11]]
[[12, 17, 0], [1, 9, 8], [19, 18, 13], [4, 7, 10], [11, 14, 5, 16], [2, 15, 6, 3]]
[[13, 4, 0], [3, 1, 15], [16, 6, 2], [18, 19, 8], [17, 7, 5, 10], [11, 9, 14, 12]]
[[14, 8, 19], [0, 12, 10], [9, 7, 13], [4, 15, 17], [11, 3, 18, 6], [2, 1, 16, 5]]
[[10, 7, 17], [12, 14, 19], [16, 13, 3], [6, 4, 8], [18, 2, 15, 1], [5, 0, 11, 9]]
[[14, 7, 17], [10, 15, 9], [18, 16, 2], [12, 1, 0], [5, 13, 11, 4], [19, 8, 3, 6]]
[[19, 0, 16], [8, 6, 2], [10, 12, 9], [5, 3, 18], [13, 17, 7, 14], [15, 11, 1, 4]]
[[3, 17, 1], [4, 19, 14], [6, 12, 15], [10, 2, 9], [16, 7, 13, 11], [18, 8, 0, 5]]
[[10, 16, 18], [3, 19, 14], [12, 5, 8], [6, 11, 0], [1, 7, 4, 13], [9, 15, 2, 17]]
[[5, 8, 3], [4, 14, 13], [0, 15, 12], [9, 2, 7], [1, 6, 17, 11], [19, 10, 16, 18]]
[[13, 6, 8], [11, 15, 16], [0, 14, 19], [12, 4, 9], [7, 2, 3, 10], [17, 1, 5, 18]]
[[2, 1, 10], [11, 7, 15], [5, 6, 8], [9, 12, 0], [13, 19, 4, 3], [16, 17, 18, 14]]
[[17, 4, 2], [3, 12, 11], [18, 5, 16], [13, 6, 1], [14, 8, 19, 15], [0, 7, 9, 10]]
[[3, 7, 17], [9, 13, 14], [19, 6, 8], [1, 15, 18], [12, 4, 16, 11], [5, 10, 2, 0]]
[[15, 6, 14], [1, 5, 16], [13, 9, 11], [18, 8, 3], [17, 7, 0, 10], [2, 4, 12, 19]]
[[3, 5, 17], [1, 0, 2], [10, 11, 4], [14, 15, 16], [18, 7, 9, 12], [13, 19, 6, 8]]
[[19, 12, 14], [18, 2, 17], [4, 3, 13], [1, 8, 9], [0, 6, 11, 10], [15, 5, 16, 7]]
[[10, 5, 2], [9, 6, 14], [19, 18, 16], [3, 7, 0], [1, 12, 11, 15], [4, 8, 13, 17]]
[[2, 18, 15], [10, 9, 7], [8, 17, 0], [19, 12, 14], [16, 11, 1, 6], [13, 5, 3, 4]]
[[4, 2, 12], [16, 15, 1], [14, 0, 3], [8, 10, 13], [19, 11, 6, 5], [7, 18, 17, 9]]
[[16, 19, 9], [0, 5, 1], [17, 8, 14], [2, 11, 12], [6, 3, 4, 10], [13, 7, 18, 15]]
[[2, 19, 8], [1, 9, 14], [10, 13, 4], [15, 12, 17], [11, 5, 18, 16], [6, 0, 7, 3]]
[[6, 5, 17], [12, 7, 10], [2, 8, 14], [11, 15, 19], [3, 16, 1, 4], [9, 13, 0, 18]]
