[[7, 6, 2], [19, 0, 4], [14, 11, 1], [5, 16, 10], [15, 18, 8], [17, 13, 12], [9, 3, 20]]
[[20, 13, 14], [16, 7, 3], [18, 17, 8], [10, 1, 5], [2, 9, 12], [6, 0, 11], [4, 15, 19]]
[[7, 16, 10], [6, 3, 2], [8, 14, 17], [5, 20, 1], [15, 19, 13], [11, 0, 18], [4, 9, 12]]
[[0, 11, 14], [6, 7, 13], [12, 18, 1], [2, 19, 15], [9, 10, 20], [3, 5, 8], [4, 16, 17]]
[[8, 10, 3], [11, 6, 19], [12, 1, 18], [4, 14, 15], [0, 7, 5], [20, 13, 2], [16, 17, 9]]
[[14, 0, 17], [16, 20, 13], [1, 5, 7], [12, 18, 4], [10, 3, 6], [2, 15, 19], [8, 9, 11]]
[[6, 14, 3], [0, 19, 4], [5, 20, 18], [13, 1, 11], [10, 2, 9], [17, 8, 16], [12, 15, 7]]
[[9, 15, 8], [5, 0, 3], [17, 13, 4], [10, 20, 16], [7, 12, 6], [2, 19, 14], [11, 18, 1]]
[[0, 12, 13], [7, 11, 10], [4, 1, 3], [14, 6, 16], [15, 9, 18], [17, 20, 19], [2, 5, 8]]
[[18, 13, 2], [7, 15, 6], [8, 1, 14], [9, 16, 4], [11, 3, 20], [19, 12, 5], [0, 10, 17]]
[[2, 10, 15], [17, 0, 8], [14, 3, 6], [9, 7, 11], [18, 16, 5], [19, 4, 13], [1, 20, 12]]
[[9, 0, 2], [13, 14, 19], [17, 20, 18], [1, 10, 12], [8, 3, 16], [11, 5, 15], [4, 7, 6]]
[[1, 2, 20], [13, 9, 15], [7, 14, 5], [18, 3, 6], [16, 10, 11], [8, 19, 12], [4, 17, 0]]
[[6, 19, 12], [15, 7, 17], [0, 11, 3], [1, 16, 4], [9, 13, 8], [20, 5, 2], [18, 14, 10]]
[[20, 1, 18], [12, 8, 3], [16, 14, 10], [4, 6, 15], [9, 0, 17], [7, 5, 11], [2, 19, 13]]
[[10, 11, 20], [13, 18, 0], [12, 16, 19], [8, 6, 9], [7, 3, 14], [5, 1, 4], [2, 17, 15]]
[[3, 7, 6], [19, 11, 16], [15, 17, 20], [10, 5, 12], [18, 4, 1], [0, 13, 8], [2, 9, 14]]
[[14, 16, 10], [4, 18, 6], [5, 17, 11], [12, 15, 7], [9, 2, 20], [0, 19, 8], [3, 13, 1]]
[[9, 19, 10], [0, 6, 11], [2, 18, 17], [3, 8, 16], [12, 14, 7], [20, 13, 15], [4, 5, 1]]
[[5, 12, 2], [19, 17, 6], [10, 16, 18], [20, 3, 1], [7, 4, 13], [9, 15, 8], [14, 11, 0]]
[[6, 18, 13], [1, 10, 19], [5, 2, 7], [20, 17, 11], [15, 8, 4], [14, 0, 3], [16, 12, 9]]
[[4, 12, 7], [20, 11, 16], [13, 6, 5], [10, 19, 0], [1, 2, 15], [9, 8, 14], [17, 3, 18]]
[[4, 3, 12], [8, 2, 13], [15, 10, 6], [20, 19, 1], [0, 11, 5], [16, 17, 7], [14, 18, 9]]
[[18, 17, 13], [14, 6, 10], [11, 15, 19], [9, 7, 8], [16, 5, 4], [1, 2, 3], [12, 20, 0]]
[[2, 19, 12], [7, 3, 10], [15, 16, 18], [11, 20, 1], [0, 8, 5], [9, 14, 17], [6, 13, 4]]
[[13, 2, 8], [3, 14, 12], [9, 1, 18], [6, 17, 4], [11, 7, 10], [19, 15, 20], [0, 5, 16]]
[[10, 14, 15], [9, 17, 0], [16, 5, 2], [1, 20, 13], [11, 18, 6], [7, 3, 19], [12, 4, 8]]
[[1, 8, 7], [17, 16, 4], [5, 20, 13], [10, 11, 3], [9, 2, 12], [15, 6, 19], [0, 14, 18]]
[[11, 12, 6], [16, 17, 0], [5, 13, 14], [8, 3, 10], [19, 15, 7], [2, 9, 20], [4, 18, 1]]
[[9, 3, 8], [14, 20, 13], [18, 16, 10], [12, 2, 0], [6, 7, 11], [17, 15, 5], [1, 19, 4]]
[[2, 11, 20], [12, 5, 8], [18, 17, 1], [4, 0, 6], [10, 16, 9], [3, 14, 7], [15, 19, 13]]
[[10, 4, 18], [9, 6, 16], [0, 11, 13], [15, 2, 5], [20, 8, 7], [14, 17, 19], [3, 12, 1]]
[[6, 2, 5], [1, 3, 9], [20, 18, 10], [14, 7, 12], [16, 13, 4], [0, 19, 11], [15, 17, 8]]
[[9, 12, 19], [6, 15, 1], [16, 0, 2], [14, 11, 8], [3, 7, 17], [20, 13, 10], [5, 4, 18]]
[[19, 1, 9], [3, 13, 11], [7, 20, 12], [6, 18, 2], [8, 0, 15], [17, 16, 10], [14, 4, 5]]
[[9, 18, 20], [10, 16, 2], [14, 1, 12], [0, 5, 3], [6, 13, 19], [7, 17, 11], [8, 4, 15]]
[[2, 17, 5], [11, 3, 4], [1, 9, 12], [14, 8, 16], [10, 0, 6], [7, 18, 19], [20, 15, 13]]
[[12, 9, 4], [0, 5, 3], [1, 14, 16], [8, 19, 18], [13, 17, 10], [7, 2, 20], [15, 6, 11]]
[[3, 19, 14], [0, 2, 11], [15, 4, 12], [1, 17, 9], [7, 10, 16], [5, 8, 13], [18, 20, 6]]
[[8, 11, 17], [18, 20, 14], [4, 12, 7], [1, 6, 5], [19, 2, 3], [13, 15, 9], [0, 16, 10]]
[[4, 2, 13], [3, 11, 5], [0, 12, 7], [8, 1, 16], [17, 18, 20], [19, 14, 6], [15, 9, 10]]
[[12, 9, 2], [6, 0, 15], [1, 13, 5], [19, 4, 10], [14, 16, 7], [11, 8, 18], [20, 17, 3]]
[[20, 10, 1], [2, 0, 4], [11, 18, 13], [9, 7, 14], [5, 17, 16], [8, 15, 19], [6, 12, 3]]
