[[0, 8, 13], [9, 3, 18], [6, 21, 17], [2, 19, 4], [16, 12, 11], [20, 1, 14], [15, 7, 5, 10]]
[[10, 7, 16], [21, 9, 8], [5, 15, 18], [1, 4, 14], [6, 11, 12], [2, 3, 19], [20, 13, 17, 0]]
[[11, 5, 8], [4, 21, 9], [10, 16, 3], [13, 0, 12], [2, 17, 19], [18, 1, 14], [15, 20, 7, 6]]
[[1, 17, 5], [21, 16, 0], [13, 19, 2], [12, 3, 11], [10, 18, 8], [4, 15, 6], [9, 20, 14, 7]]
[[6, 15, 13], [9, 21, 12], [1, 10, 2], [14, 19, 0], [20, 3, 16], [18, 4, 5], [7, 17, 8, 11]]
[[11, 5, 4], [15, 18, 13], [19, 1, 6], [3, 16, 7], [17, 0, 2], [8, 12, 20], [14, 9, 21, 10]]
[[18, 17, 0], [20, 7, 5], [6, 21, 1], [13, 9, 4], [10, 14, 8], [15, 2, 16], [11, 19, 12, 3]]
[[15, 12, 0], [1, 9, 2], [21, 10, 7], [11, 8, 17], [13, 18, 14], [20, 3, 16], [19, 5, 4, 6]]
[[5, 9, 6], [10, 4, 17], [7, 20, 1], [3, 2, 8], [0, 11, 18], [15, 16, 19], [14, 12, 13, 21]]
[[6, 8, 12], [15, 3, 11], [19, 14, 1], [0, 10, 21], [16, 20, 5], [13, 17, 4], [18, 2, 9, 7]]
[[0, 15, 10], [16, 2, 6], [14, 20, 8], [7, 19, 9], [13, 11, 17], [5, 1, 21], [4, 18, 12, 3]]
[[8, 14, 15], [11, 5, 1], [10, 6, 20], [0, 4, 3], [7, 13, 16], [21, 12, 2], [18, 17, 19, 9]]
[[1, 0, 11], [15, 18, 13], [14, 20, 9], [8, 17, 16], [21, 19, 12], [4, 3, 5], [6, 7, 2, 10]]
[[16, 7, 13], [20, 0, 4], [12, 3, 1], [11, 14, 2], [8, 9, 15], [19, 5, 6], [17, 18, 21, 10]]
[[3, 7, 12], [16, 13, 11], [19, 1, 9], [4, 21, 2], [8, 5, 17], [6, 10, 20], [18, 15, 0, 14]]
[[20, 0, 1], [10, 13, 12], [18, 7, 6], [11, 17, 8], [16, 4, 14], [21, 5, 15], [19, 9, 3, 2]]
[[10, 15, 11], [9, 6, 13], [2, 16, 20], [21, 12, 14], [4, 18, 0], [5, 17, 8], [3, 1, 19, 7]]
[[21, 2, 0], [20, 4, 17], [6, 19, 10], [15, 13, 11], [9, 7, 1], [3, 14, 18], [12, 8, 5, 16]]
[[1, 16, 11], [6, 19, 4], [0, 12, 3], [10, 15, 18], [9, 21, 20], [14, 2, 8], [7, 13, 5, 17]]
[[9, 16, 8], [5, 21, 0], [2, 19, 7], [13, 3, 4], [12, 14, 10], [6, 18, 15], [17, 20, 11, 1]]
[[15, 17, 14], [0, 20, 21], [19, 3, 5], [16, 8, 9], [4, 18, 12], [13, 2, 11], [1, 6, 7, 10]]
[[19, 21, 0], [14, 7, 8], [13, 3, 10], [1, 9, 5], [12, 15, 4], [6, 2, 17], [16, 11, 18, 20]]
[[7, 21, 14], [6, 3, 13], [5, 18, 1], [11, 15, 9], [8, 12, 2], [4, 19, 0], [20, 16, 17, 10]]
[[9, 14, 11], [12, 16, 5], [13, 18, 7], [17, 20, 6], [8, 15, 4], [3, 1, 10], [2, 0, 21, 19]]
