[[16, 15, 7], [8, 11, 21], [20, 5, 13], [12, 2, 4], [10, 18, 3], [14, 17, 22, 0], [19, 1, 9, 6]]
[[10, 22, 15], [0, 16, 21], [6, 11, 19], [9, 4, 1], [5, 3, 7], [17, 2, 18, 8], [14, 12, 13, 20]]
[[10, 18, 11], [4, 6, 2], [15, 19, 12], [1, 21, 16], [20, 9, 14], [13, 5, 17, 0], [7, 3, 22, 8]]
[[13, 6, 5], [19, 3, 9], [18, 10, 1], [2, 8, 22], [0, 12, 4], [17, 7, 20, 16], [21, 14, 15, 11]]
[[11, 7, 6], [15, 12, 22], [14, 0, 19], [20, 3, 2], [8, 21, 10], [9, 4, 17, 18], [5, 1, 13, 16]]
[[7, 4, 8], [19, 0, 22], [11, 6, 10], [21, 5, 20], [3, 1, 14], [16, 12, 2, 18], [9, 13, 15, 17]]
[[16, 22, 18], [4, 15, 12], [3, 10, 19], [7, 9, 13], [20, 17, 2], [21, 6, 5, 8], [11, 1, 14, 0]]
[[14, 6, 1], [12, 17, 20], [15, 4, 21], [19, 10, 5], [18, 16, 22], [7, 11, 3, 2], [13, 9, 8, 0]]
[[3, 7, 12], [8, 6, 22], [10, 1, 20], [16, 19, 18], [17, 5, 21], [4, 11, 14, 13], [15, 9, 0, 2]]
[[5, 3, 14], [19, 10, 13], [20, 0, 11], [21, 1, 16], [17, 6, 7], [2, 8, 4, 12], [22, 18, 15, 9]]
[[14, 11, 3], [12, 15, 16], [18, 17, 5], [2, 6, 10], [19, 7, 1], [8, 13, 9, 4], [21, 20, 0, 22]]
[[3, 17, 16], [19, 18, 6], [22, 7, 4], [13, 20, 0], [21, 10, 1], [11, 5, 8, 9], [15, 14, 12, 2]]
[[18, 7, 4], [0, 11, 13], [17, 3, 6], [2, 20, 12], [1, 22, 10], [15, 9, 5, 14], [16, 21, 8, 19]]
[[5, 8, 14], [7, 15, 1], [19, 6, 18], [3, 20, 10], [21, 11, 13], [2, 17, 9, 12], [4, 16, 22, 0]]
[[0, 8, 18], [5, 16, 1], [13, 4, 2], [6, 3, 9], [17, 7, 20], [14, 22, 12, 10], [19, 21, 11, 15]]
[[6, 16, 21], [3, 10, 18], [13, 15, 17], [20, 4, 2], [22, 8, 12], [0, 14, 19, 5], [7, 11, 1, 9]]
[[10, 17, 13], [4, 11, 16], [19, 3, 1], [21, 8, 14], [6, 12, 0], [18, 20, 5, 22], [15, 9, 7, 2]]
[[4, 10, 12], [0, 3, 8], [13, 11, 22], [14, 18, 15], [5, 2, 7], [6, 21, 1, 19], [16, 9, 17, 20]]
[[2, 4, 8], [19, 12, 17], [21, 22, 6], [18, 13, 16], [1, 14, 20], [7, 9, 3, 11], [10, 0, 5, 15]]
[[11, 7, 16], [15, 12, 6], [17, 2, 18], [14, 0, 21], [10, 9, 5], [8, 1, 19, 3], [4, 13, 20, 22]]
[[17, 8, 21], [4, 0, 6], [20, 5, 14], [18, 19, 15], [7, 3, 22], [11, 1, 10, 2], [9, 16, 12, 13]]
[[15, 4, 0], [21, 10, 16], [19, 13, 18], [2, 12, 7], [6, 5, 20], [1, 8, 17, 22], [11, 14, 9, 3]]
[[21, 19, 17], [14, 16, 0], [12, 1, 5], [11, 20, 13], [9, 18, 3], [4, 2, 15, 8], [22, 10, 7, 6]]
[[14, 13, 15], [17, 3, 8], [19, 1, 5], [4, 11, 18], [20, 16, 6], [22, 21, 10, 0], [7, 12, 9, 2]]
[[1, 14, 22], [16, 6, 9], [18, 4, 17], [15, 5, 0], [21, 11, 10], [13, 19, 8, 2], [3, 7, 12, 20]]
[[13, 0, 10], [5, 18, 2], [17, 9, 19], [20, 12, 21], [1, 4, 22], [11, 8, 6, 14], [3, 15, 7, 16]]
[[8, 17, 5], [20, 3, 2], [0, 11, 21], [13, 22, 14], [4, 9, 1], [7, 10, 6, 12], [16, 18, 19, 15]]
[[1, 17, 5], [13, 16, 14], [12, 6, 19], [0, 22, 7], [20, 15, 8], [10, 21, 18, 2], [3, 9, 11, 4]]
[[18, 11, 15], [3, 2, 4], [7, 1, 12], [9, 13, 22], [0, 8, 16], [21, 6, 10, 19], [20, 5, 14, 17]]
[[14, 9, 0], [19, 11, 16], [22, 4, 10], [18, 1, 3], [6, 21, 7], [13, 12, 15, 20], [2, 5, 8, 17]]
[[3, 17, 0], [1, 9, 11], [6, 2, 5], [12, 8, 16], [10, 18, 20], [7, 4, 13, 14], [22, 15, 21, 19]]
[[10, 16, 7], [18, 9, 20], [1, 14, 13], [11, 15, 0], [4, 8, 12], [21, 2, 17, 22], [3, 5, 6, 19]]
[[14, 19, 10], [5, 6, 13], [3, 4, 17], [1, 18, 2], [21, 8, 9], [7, 15, 11, 22], [16, 20, 0, 12]]
[[8, 20, 16], [15, 1, 12], [22, 10, 5], [11, 9, 17], [21, 4, 0], [14, 6, 2, 7], [13, 18, 3, 19]]
[[21, 17, 14], [10, 19, 2], [12, 6, 13], [15, 3, 5], [0, 11, 7], [20, 8, 1, 9], [4, 22, 16, 18]]
[[12, 6, 17], [1, 2, 7], [14, 13, 18], [16, 20, 9], [21, 8, 3], [4, 10, 11, 5], [0, 22, 19, 15]]
[[13, 18, 19], [4, 12, 3], [8, 14, 7], [22, 0, 2], [21, 11, 9], [1, 15, 10, 16], [17, 5, 6, 20]]
[[7, 20, 13], [4, 5, 2], [12, 16, 18], [19, 14, 3], [0, 15, 21], [1, 10, 22, 6], [9, 11, 17, 8]]
[[19, 5, 22], [20, 3, 7], [17, 21, 9], [8, 16, 18], [10, 13, 2], [6, 4, 0, 12], [15, 11, 1, 14]]
[[17, 20, 4], [3, 2, 1], [0, 14, 6], [9, 11, 8], [21, 18, 19], [5, 22, 15, 13], [12, 7, 16, 10]]
[[1, 20, 8], [14, 16, 15], [21, 4, 3], [22, 10, 17], [11, 5, 0], [6, 9, 13, 12], [18, 7, 19, 2]]
[[3, 4, 11], [7, 8, 1], [13, 10, 2], [14, 17, 16], [21, 18, 22], [20, 19, 9, 5], [12, 15, 6, 0]]
