[[7, 12, 1], [2, 14, 19], [18, 3, 15], [21, 8, 4], [5, 11, 10], [20, 9, 6], [22, 23, 17], [13, 16, 0]]
[[23, 8, 4], [15, 10, 20], [16, 17, 21], [7, 18, 3], [19, 9, 5], [14, 13, 2], [0, 12, 11], [1, 6, 22]]
[[18, 10, 23], [21, 17, 11], [6, 13, 2], [8, 4, 5], [7, 1, 12], [0, 19, 9], [14, 20, 15], [3, 22, 16]]
[[6, 9, 7], [12, 3, 21], [18, 4, 2], [1, 15, 5], [23, 11, 0], [10, 22, 8], [19, 13, 17], [16, 14, 20]]
[[6, 22, 18], [19, 15, 11], [8, 1, 3], [0, 14, 5], [10, 21, 16], [12, 23, 7], [9, 17, 4], [20, 13, 2]]
[[0, 5, 11], [23, 3, 22], [10, 19, 17], [21, 7, 18], [12, 13, 2], [16, 15, 4], [14, 8, 1], [20, 6, 9]]
[[8, 22, 19], [3, 9, 10], [16, 20, 11], [18, 1, 21], [17, 0, 6], [15, 7, 2], [4, 13, 14], [23, 12, 5]]
[[14, 9, 16], [2, 6, 10], [11, 19, 8], [0, 12, 17], [3, 20, 13], [5, 4, 22], [7, 1, 15], [18, 21, 23]]
[[10, 2, 23], [4, 3, 19], [6, 18, 13], [20, 8, 21], [11, 12, 17], [22, 1, 5], [14, 15, 16], [0, 9, 7]]
[[11, 7, 3], [22, 20, 15], [2, 6, 12], [21, 10, 1], [8, 5, 17], [16, 14, 13], [0, 18, 4], [23, 19, 9]]
[[3, 14, 22], [20, 1, 2], [6, 9, 15], [4, 7, 17], [5, 11, 8], [16, 19, 10], [23, 21, 12], [13, 18, 0]]
[[5, 21, 12], [1, 2, 6], [22, 10, 13], [11, 8, 15], [17, 19, 20], [18, 14, 23], [3, 7, 9], [0, 4, 16]]
[[2, 23, 18], [14, 6, 21], [0, 11, 22], [4, 13, 8], [1, 7, 16], [5, 15, 12], [19, 9, 3], [17, 20, 10]]
[[0, 7, 15], [4, 8, 19], [9, 11, 5], [18, 16, 22], [20, 10, 1], [23, 21, 6], [13, 3, 2], [17, 12, 14]]
[[4, 3, 12], [0, 5, 17], [13, 1, 21], [6, 2, 8], [20, 7, 15], [14, 19, 9], [23, 18, 11], [10, 16, 22]]
[[3, 23, 16], [4, 20, 15], [0, 8, 10], [13, 22, 12], [6, 1, 18], [2, 11, 9], [17, 7, 19], [14, 5, 21]]
[[21, 23, 6], [5, 10, 11], [7, 3, 12], [20, 19, 8], [0, 22, 4], [2, 18, 1], [15, 16, 13], [14, 9, 17]]
[[0, 18, 5], [13, 9, 7], [17, 11, 12], [21, 14, 19], [15, 20, 6], [23, 10, 2], [16, 1, 3], [8, 4, 22]]
[[8, 19, 4], [13, 7, 6], [9, 22, 3], [14, 15, 11], [16, 23, 0], [10, 18, 12], [20, 1, 21], [5, 2, 17]]
[[19, 6, 14], [5, 7, 15], [17, 13, 9], [2, 0, 23], [3, 20, 11], [12, 18, 21], [16, 4, 1], [8, 10, 22]]
[[22, 17, 16], [8, 12, 3], [1, 18, 11], [15, 4, 5], [20, 7, 2], [19, 13, 14], [9, 23, 0], [6, 21, 10]]
[[16, 12, 18], [6, 11, 4], [19, 13, 7], [5, 9, 22], [15, 17, 14], [1, 10, 2], [21, 20, 3], [23, 8, 0]]
[[12, 5, 13], [4, 22, 7], [18, 8, 14], [15, 9, 3], [17, 2, 19], [6, 23, 1], [16, 11, 0], [10, 21, 20]]
[[2, 22, 3], [19, 7, 18], [17, 23, 10], [20, 8, 15], [11, 21, 5], [6, 4, 0], [9, 13, 16], [12, 14, 1]]
[[2, 21, 4], [6, 8, 22], [10, 12, 23], [3, 1, 17], [18, 15, 5], [19, 20, 13], [14, 9, 7], [0, 11, 16]]
[[5, 15, 1], [14, 4, 19], [22, 16, 13], [9, 21, 3], [8, 10, 23], [7, 17, 20], [12, 11, 0], [6, 2, 18]]
[[5, 12, 8], [17, 22, 0], [20, 7, 16], [9, 11, 18], [23, 1, 13], [21, 4, 6], [14, 15, 19], [10, 3, 2]]
[[11, 4, 17], [10, 20, 12], [16, 18, 23], [15, 19, 3], [21, 14, 5], [7, 2, 8], [9, 0, 1], [6, 22, 13]]
[[11, 15, 19], [18, 8, 22], [7, 2, 6], [23, 20, 9], [5, 13, 16], [21, 10, 14], [17, 12, 4], [0, 3, 1]]
[[20, 10, 8], [2, 6, 21], [0, 7, 23], [12, 19, 13], [11, 17, 14], [16, 9, 4], [18, 5, 3], [22, 15, 1]]
[[18, 1, 9], [5, 11, 19], [10, 7, 13], [16, 6, 12], [20, 4, 0], [8, 15, 23], [2, 21, 17], [22, 3, 14]]
[[10, 19, 4], [9, 8, 18], [22, 15, 14], [16, 2, 11], [17, 23, 21], [1, 0, 12], [5, 7, 13], [3, 20, 6]]
[[15, 21, 6], [19, 7, 12], [22, 18, 11], [9, 2, 10], [4, 1, 5], [8, 13, 14], [0, 16, 3], [20, 23, 17]]
[[10, 21, 8], [16, 12, 22], [14, 1, 11], [3, 19, 17], [7, 15, 20], [18, 9, 13], [5, 2, 6], [0, 23, 4]]
[[2, 21, 1], [16, 18, 11], [5, 6, 13], [7, 22, 8], [15, 3, 19], [20, 14, 23], [0, 10, 12], [9, 4, 17]]
[[10, 19, 23], [21, 5, 11], [8, 6, 14], [22, 12, 18], [20, 4, 3], [15, 9, 16], [17, 2, 7], [1, 13, 0]]
[[7, 6, 17], [14, 4, 10], [13, 3, 11], [23, 5, 21], [15, 18, 22], [16, 0, 12], [20, 9, 2], [19, 1, 8]]
