[[10, 18, 0], [20, 8, 4], [17, 28, 23], [25, 24, 7], [22, 14, 16], [9, 11, 26], [3, 1, 5], [31, 15, 2], [13, 29, 30], [19, 21, 12], [32, 27, 6]]
[[23, 25, 30], [3, 26, 28], [24, 31, 7], [20, 6, 14], [22, 29, 21], [11, 9, 13], [27, 2, 32], [17, 12, 0], [15, 16, 10], [5, 4, 19], [8, 18, 1]]
[[27, 13, 30], [23, 28, 18], [11, 21, 5], [31, 10, 20], [16, 25, 14], [9, 22, 17], [7, 12, 15], [2, 8, 26], [19, 32, 24], [0, 6, 3], [1, 29, 4]]
[[13, 22, 19], [11, 4, 30], [28, 23, 12], [5, 15, 24], [29, 17, 31], [10, 27, 9], [32, 1, 26], [25, 14, 0], [7, 2, 6], [16, 3, 21], [8, 20, 18]]
[[32, 4, 5], [3, 8, 31], [17, 11, 6], [16, 2, 24], [26, 0, 28], [19, 9, 1], [29, 12, 7], [30, 21, 20], [15, 13, 18], [22, 10, 23], [14, 25, 27]]
[[8, 28, 32], [7, 22, 18], [19, 9, 29], [13, 27, 6], [11, 2, 10], [4, 15, 5], [30, 26, 31], [23, 16, 1], [25, 3, 12], [24, 21, 20], [0, 14, 17]]
[[4, 10, 9], [1, 25, 27], [21, 13, 20], [31, 14, 30], [18, 19, 12], [26, 29, 17], [6, 5, 8], [23, 3, 2], [22, 32, 11], [7, 16, 0], [24, 15, 28]]
[[25, 29, 20], [21, 6, 12], [28, 17, 30], [16, 24, 1], [2, 15, 19], [32, 18, 0], [10, 4, 5], [7, 3, 23], [8, 31, 22], [14, 9, 27], [11, 26, 13]]
[[29, 7, 8], [28, 17, 27], [20, 19, 30], [9, 15, 26], [3, 32, 1], [11, 23, 18], [16, 0, 31], [2, 13, 10], [4, 12, 21], [6, 25, 22], [24, 5, 14]]
[[19, 29, 28], [24, 32, 27], [17, 2, 9], [23, 21, 11], [10, 14, 6], [5, 16, 0], [8, 12, 1], [25, 3, 26], [30, 15, 13], [22, 20, 7], [31, 18, 4]]
[[4, 23, 18], [30, 19, 16], [14, 5, 12], [8, 28, 10], [7, 17, 26], [21, 27, 1], [31, 13, 20], [29, 24, 9], [11, 32, 22], [3, 0, 6], [25, 2, 15]]
[[13, 30, 9], [20, 18, 24], [19, 0, 2], [31, 8, 1], [29, 16, 17], [7, 3, 27], [10, 23, 14], [25, 6, 32], [12, 22, 4], [28, 11, 15], [5, 21, 26]]
[[26, 10, 18], [16, 0, 4], [9, 14, 12], [27, 11, 3], [30, 32, 13], [19, 25, 2], [21, 20, 17], [8, 23, 7], [22, 5, 31], [6, 28, 15], [24, 29, 1]]
[[29, 14, 32], [9, 19, 20], [18, 4, 24], [15, 1, 10], [5, 25, 11], [28, 13, 0], [7, 27, 17], [3, 26, 22], [21, 6, 2], [31, 12, 16], [8, 23, 30]]
[[5, 12, 4], [16, 22, 7], [10, 30, 6], [3, 8, 31], [23, 32, 1], [29, 20, 14], [18, 25, 15], [28, 17, 11], [21, 13, 24], [19, 27, 9], [26, 2, 0]]
[[12, 25, 23], [15, 3, 26], [22, 30, 28], [11, 13, 16], [27, 29, 7], [18, 24, 21], [4, 5, 9], [20, 14, 6], [10, 8, 31], [0, 2, 19], [1, 32, 17]]
[[24, 23, 27], [8, 19, 12], [2, 11, 14], [5, 4, 15], [18, 21, 30], [28, 1, 7], [32, 22, 13], [3, 31, 9], [0, 10, 26], [20, 17, 6], [29, 16, 25]]
[[19, 21, 23], [11, 12, 16], [9, 7, 20], [0, 27, 31], [2, 6, 25], [1, 24, 32], [29, 3, 18], [22, 13, 10], [14, 30, 15], [26, 17, 28], [5, 8, 4]]
[[14, 32, 28], [30, 27, 22], [5, 12, 13], [4, 10, 26], [3, 9, 25], [29, 23, 2], [7, 1, 20], [24, 17, 8], [21, 15, 16], [6, 18, 11], [0, 31, 19]]
[[26, 20, 32], [11, 23, 17], [15, 7, 8], [2, 5, 12], [19, 30, 28], [25, 24, 18], [10, 6, 21], [0, 13, 31], [4, 1, 16], [9, 29, 27], [22, 3, 14]]
[[7, 26, 23], [1, 0, 19], [13, 9, 4], [5, 32, 18], [30, 2, 22], [8, 20, 27], [21, 3, 10], [17, 25, 31], [29, 16, 24], [15, 14, 12], [11, 28, 6]]
[[31, 20, 3], [25, 23, 29], [1, 18, 16], [24, 2, 30], [17, 12, 10], [7, 21, 32], [11, 8, 19], [26, 28, 9], [13, 22, 5], [0, 27, 4], [6, 14, 15]]
[[7, 15, 28], [19, 12, 2], [21, 14, 16], [5, 3, 32], [6, 25, 17], [13, 29, 26], [8, 11, 9], [30, 18, 24], [0, 31, 10], [27, 1, 23], [20, 22, 4]]
[[19, 4, 27], [18, 30, 3], [26, 8, 14], [24, 13, 5], [15, 20, 22], [6, 1, 17], [0, 28, 2], [16, 21, 11], [25, 31, 32], [29, 12, 10], [9, 7, 23]]
[[8, 12, 21], [29, 30, 22], [9, 10, 11], [18, 25, 6], [0, 19, 7], [24, 17, 14], [32, 4, 28], [5, 3, 16], [20, 2, 13], [15, 26, 31], [1, 23, 27]]
[[1, 14, 30], [20, 25, 26], [24, 8, 10], [12, 19, 17], [23, 9, 5], [2, 7, 4], [29, 3, 6], [27, 28, 16], [15, 18, 11], [31, 21, 32], [0, 22, 13]]
[[16, 32, 28], [26, 5, 22], [31, 17, 23], [14, 4, 8], [6, 0, 2], [13, 15, 11], [18, 12, 30], [19, 9, 21], [7, 20, 1], [27, 29, 25], [3, 24, 10]]
[[0, 23, 14], [3, 31, 30], [1, 28, 17], [19, 10, 27], [11, 29, 21], [22, 5, 32], [7, 9, 24], [2, 18, 6], [8, 16, 25], [26, 13, 4], [12, 15, 20]]
[[2, 20, 32], [9, 28, 17], [18, 16, 14], [29, 4, 0], [19, 15, 3], [21, 22, 1], [27, 6, 12], [25, 11, 13], [7, 24, 30], [8, 5, 23], [10, 26, 31]]
[[11, 13, 7], [31, 0, 18], [3, 14, 16], [19, 8, 10], [9, 21, 17], [12, 23, 6], [27, 20, 30], [32, 4, 1], [2, 24, 5], [15, 29, 22], [28, 26, 25]]
[[26, 8, 11], [32, 1, 16], [23, 31, 21], [19, 24, 0], [9, 29, 5], [12, 6, 7], [28, 22, 20], [2, 10, 18], [27, 14, 30], [25, 15, 13], [4, 17, 3]]
[[23, 31, 32], [26, 2, 4], [6, 28, 15], [10, 11, 8], [0, 20, 21], [13, 18, 27], [22, 30, 25], [24, 9, 19], [14, 17, 1], [7, 29, 5], [16, 12, 3]]
[[17, 4, 5], [20, 31, 0], [24, 3, 12], [1, 23, 14], [11, 15, 29], [19, 21, 27], [26, 6, 22], [9, 10, 25], [8, 28, 18], [16, 7, 2], [32, 13, 30]]
[[20, 12, 24], [21, 15, 14], [7, 26, 5], [9, 3, 13], [6, 30, 19], [10, 0, 17], [22, 8, 29], [18, 31, 1], [4, 11, 28], [32, 23, 2], [25, 27, 16]]
[[14, 13, 17], [16, 21, 1], [8, 10, 20], [6, 22, 25], [31, 30, 28], [24, 29, 11], [15, 4, 18], [27, 19, 23], [3, 9, 7], [32, 0, 5], [12, 2, 26]]
[[13, 15, 5], [23, 7, 3], [4, 1, 19], [28, 14, 11], [18, 10, 16], [24, 30, 29], [0, 27, 2], [22, 17, 8], [6, 20, 12], [26, 31, 32], [25, 21, 9]]
[[23, 27, 8], [28, 14, 19], [32, 16, 25], [30, 26, 6], [7, 20, 4], [3, 2, 29], [18, 10, 21], [13, 5, 12], [31, 17, 22], [15, 9, 1], [11, 0, 24]]
[[12, 32, 14], [6, 18, 29], [0, 10, 31], [13, 26, 1], [22, 15, 3], [16, 9, 19], [30, 21, 8], [27, 24, 4], [5, 23, 25], [17, 20, 28], [11, 7, 2]]
[[25, 6, 27], [4, 26, 0], [28, 20, 19], [24, 7, 2], [9, 14, 17], [31, 29, 8], [30, 1, 21], [15, 3, 10], [12, 13, 23], [11, 32, 18], [22, 5, 16]]
[[4, 22, 20], [2, 9, 27], [0, 24, 7], [12, 3, 19], [30, 16, 18], [32, 14, 13], [5, 1, 28], [21, 26, 11], [8, 23, 31], [10, 17, 25], [29, 6, 15]]
[[21, 17, 2], [28, 16, 26], [25, 18, 8], [0, 19, 31], [9, 20, 1], [14, 7, 24], [10, 27, 11], [29, 6, 13], [5, 30, 15], [3, 22, 12], [23, 32, 4]]
[[10, 21, 2], [9, 24, 12], [27, 23, 26], [28, 8, 5], [13, 6, 15], [31, 3, 18], [22, 17, 7], [16, 11, 20], [14, 4, 30], [25, 32, 19], [0, 29, 1]]
[[22, 25, 3], [24, 17, 31], [6, 12, 18], [20, 1, 7], [2, 11, 8], [4, 28, 19], [30, 5, 21], [9, 0, 15], [27, 10, 14], [32, 26, 23], [29, 16, 13]]
[[10, 26, 18], [7, 27, 13], [12, 31, 20], [11, 16, 4], [21, 6, 30], [29, 23, 3], [9, 22, 1], [28, 25, 5], [24, 0, 15], [19, 14, 17], [8, 2, 32]]
[[27, 12, 26], [30, 32, 4], [2, 8, 3], [7, 5, 11], [23, 20, 21], [15, 16, 0], [10, 24, 18], [17, 29, 28], [19, 6, 13], [14, 22, 25], [1, 9, 31]]
[[23, 32, 17], [0, 7, 3], [6, 30, 15], [31, 8, 9], [4, 12, 22], [10, 21, 14], [24, 25, 1], [16, 5, 18], [26, 28, 29], [11, 27, 13], [19, 2, 20]]
[[19, 12, 26], [28, 22, 6], [21, 18, 32], [16, 30, 10], [25, 17, 27], [14, 7, 24], [15, 2, 0], [23, 5, 8], [31, 11, 20], [9, 3, 1], [29, 13, 4]]
[[3, 8, 4], [32, 27, 24], [17, 10, 6], [18, 2, 1], [26, 15, 13], [25, 20, 11], [22, 28, 9], [0, 31, 16], [19, 5, 23], [29, 14, 30], [7, 12, 21]]
[[26, 23, 17], [18, 29, 7], [22, 13, 1], [9, 24, 21], [8, 3, 30], [6, 12, 4], [5, 15, 19], [25, 11, 14], [32, 16, 28], [20, 0, 2], [27, 31, 10]]
[[17, 22, 11], [21, 20, 29], [32, 10, 19], [2, 27, 18], [16, 30, 4], [5, 9, 14], [0, 7, 12], [15, 3, 1], [31, 6, 8], [25, 24, 23], [28, 13, 26]]
[[23, 11, 22], [30, 7, 10], [17, 12, 5], [13, 27, 9], [18, 1, 28], [16, 0, 29], [32, 21, 15], [8, 24, 3], [25, 2, 20], [26, 6, 14], [31, 4, 19]]
[[27, 14, 24], [21, 17, 20], [9, 19, 18], [7, 28, 25], [8, 32, 3], [13, 15, 16], [1, 6, 29], [4, 2, 26], [23, 22, 10], [0, 5, 30], [12, 31, 11]]
[[3, 16, 20], [8, 6, 0], [2, 24, 22], [28, 27, 14], [18, 5, 1], [10, 7, 19], [26, 23, 17], [13, 29, 21], [32, 25, 4], [31, 11, 12], [15, 30, 9]]
[[30, 28, 2], [11, 25, 8], [20, 3, 0], [4, 6, 22], [17, 7, 9], [27, 31, 32], [18, 12, 13], [1, 29, 15], [10, 24, 14], [23, 21, 19], [16, 26, 5]]
[[12, 23, 32], [0, 21, 3], [19, 24, 14], [28, 26, 29], [5, 27, 2], [16, 20, 1], [9, 4, 13], [10, 8, 17], [31, 6, 11], [30, 15, 25], [22, 7, 18]]
[[22, 19, 15], [9, 11, 18], [28, 7, 13], [3, 14, 16], [26, 21, 32], [4, 2, 10], [6, 24, 31], [5, 1, 20], [17, 27, 12], [25, 0, 30], [23, 8, 29]]
