[[21, 28, 11], [5, 1, 29], [0, 13, 26], [27, 7, 16], [20, 25, 14], [22, 32, 19], [24, 31, 2], [6, 9, 12], [3, 17, 23], [4, 15, 8, 18], [30, 10, 34, 33]]
[[28, 19, 8], [32, 13, 1], [20, 2, 18], [26, 21, 5], [6, 3, 16], [7, 22, 24], [0, 25, 9], [31, 23, 30], [11, 29, 10], [12, 33, 34, 27], [4, 14, 17, 15]]
[[24, 34, 17], [25, 3, 26], [31, 2, 6], [21, 9, 4], [28, 33, 18], [8, 11, 23], [27, 16, 5], [13, 19, 15], [7, 1, 30], [12, 29, 20, 32], [0, 10, 22, 14]]
[[26, 1, 24], [30, 12, 4], [5, 6, 2], [16, 19, 33], [10, 14, 13], [22, 31, 20], [9, 34, 7], [29, 21, 0], [15, 11, 32], [23, 17, 3, 8], [28, 25, 18, 27]]
[[18, 26, 16], [33, 3, 24], [14, 32, 27], [9, 13, 7], [17, 8, 12], [11, 2, 0], [34, 4, 21], [6, 28, 19], [1, 29, 31], [20, 30, 15, 5], [22, 23, 25, 10]]
[[19, 18, 8], [29, 27, 22], [12, 20, 24], [28, 9, 13], [31, 5, 14], [10, 32, 0], [23, 26, 15], [17, 1, 16], [30, 2, 21], [3, 25, 4, 33], [11, 34, 7, 6]]
[[11, 23, 34], [17, 7, 5], [32, 18, 28], [33, 14, 24], [15, 1, 25], [30, 27, 0], [31, 21, 9], [16, 20, 12], [22, 29, 26], [6, 8, 13, 4], [19, 3, 2, 10]]
[[23, 13, 6], [28, 34, 5], [0, 16, 31], [11, 33, 2], [27, 21, 22], [20, 18, 10], [19, 29, 24], [15, 17, 32], [9, 4, 7], [8, 1, 12, 26], [3, 25, 30, 14]]
[[4, 27, 11], [2, 18, 29], [12, 16, 10], [34, 32, 17], [24, 30, 8], [0, 26, 7], [15, 20, 14], [33, 13, 31], [22, 28, 25], [6, 23, 3, 9], [21, 19, 5, 1]]
[[2, 25, 5], [15, 11, 28], [1, 3, 31], [34, 16, 8], [23, 6, 29], [10, 19, 9], [30, 20, 0], [24, 14, 7], [12, 4, 32], [13, 18, 27, 22], [17, 21, 26, 33]]
[[29, 31, 7], [28, 33, 20], [1, 4, 8], [30, 15, 16], [13, 11, 2], [18, 12, 14], [23, 24, 26], [22, 9, 6], [3, 21, 0], [32, 17, 25, 10], [34, 27, 5, 19]]
[[30, 11, 32], [7, 2, 24], [34, 5, 13], [26, 31, 1], [25, 20, 27], [33, 9, 17], [6, 28, 8], [22, 23, 21], [10, 18, 0], [4, 16, 12, 3], [15, 14, 19, 29]]
[[4, 17, 6], [2, 9, 15], [30, 26, 25], [12, 21, 10], [1, 8, 18], [33, 19, 32], [16, 7, 14], [20, 11, 31], [27, 24, 22], [0, 34, 13, 5], [3, 29, 23, 28]]
[[17, 31, 32], [15, 16, 8], [4, 0, 1], [18, 9, 26], [19, 11, 20], [30, 21, 12], [7, 34, 29], [14, 23, 28], [33, 13, 22], [6, 25, 5, 27], [24, 3, 2, 10]]
[[14, 15, 4], [23, 24, 7], [21, 8, 18], [33, 6, 5], [29, 3, 31], [25, 32, 16], [30, 0, 12], [26, 28, 34], [19, 13, 10], [2, 20, 11, 1], [22, 9, 27, 17]]
[[15, 24, 30], [33, 6, 22], [18, 28, 5], [21, 20, 32], [34, 27, 0], [31, 23, 2], [14, 29, 10], [17, 1, 25], [9, 8, 12], [11, 19, 26, 7], [16, 4, 3, 13]]
[[1, 21, 29], [25, 33, 22], [3, 24, 14], [31, 20, 10], [12, 34, 13], [0, 2, 5], [23, 32, 16], [27, 8, 11], [17, 19, 4], [6, 9, 15, 30], [18, 7, 26, 28]]
[[0, 2, 22], [34, 10, 13], [33, 16, 6], [21, 1, 11], [17, 20, 19], [3, 29, 25], [18, 27, 23], [31, 24, 7], [28, 14, 12], [32, 8, 9, 4], [15, 26, 30, 5]]
