[[15, 3, 1], [10, 0, 6], [14, 13, 2], [8, 9, 11], [5, 7, 12, 4]]
[[1, 14, 6], [7, 9, 4], [10, 15, 13], [8, 11, 0], [2, 5, 12, 3]]
[[12, 0, 15], [8, 9, 14], [10, 13, 4], [1, 7, 2], [6, 3, 11, 5]]
[[12, 4, 5], [6, 7, 2], [1, 9, 3], [13, 11, 8], [10, 15, 14, 0]]
[[0, 9, 14], [11, 15, 3], [5, 12, 13], [10, 8, 7], [6, 1, 4, 2]]
[[6, 9, 5], [13, 0, 11], [8, 12, 15], [2, 14, 7], [4, 3, 10, 1]]
[[10, 7, 6], [2, 11, 15], [14, 9, 13], [12, 1, 4], [5, 0, 3, 8]]
[[7, 1, 13], [0, 15, 9], [12, 6, 10], [14, 8, 4], [3, 2, 11, 5]]
[[3, 2, 11], [6, 8, 7], [14, 4, 5], [1, 13, 15], [9, 12, 0, 10]]
[[0, 12, 14], [13, 2, 1], [5, 3, 15], [8, 11, 6], [7, 9, 4, 10]]
[[5, 12, 13], [8, 3, 1], [11, 6, 4], [7, 14, 15], [2, 10, 0, 9]]
[[7, 14, 5], [11, 3, 10], [2, 12, 4], [8, 6, 1], [13, 9, 15, 0]]
[[10, 1, 12], [3, 14, 4], [7, 15, 0], [2, 9, 11], [8, 5, 13, 6]]
[[2, 3, 9], [0, 13, 11], [15, 5, 12], [1, 14, 6], [4, 7, 8, 10]]
[[5, 15, 12], [2, 1, 8], [13, 0, 7], [6, 3, 10], [11, 4, 14, 9]]
[[14, 10, 2], [1, 7, 3], [8, 9, 5], [12, 4, 13], [0, 15, 11, 6]]
[[6, 9, 14], [13, 8, 11], [0, 3, 1], [7, 4, 10], [12, 2, 5, 15]]
[[8, 14, 13], [3, 15, 0], [5, 11, 12], [2, 6, 1], [10, 7, 4, 9]]
[[2, 15, 9], [6, 5, 4], [14, 11, 12], [1, 3, 10], [7, 13, 8, 0]]
[[1, 7, 11], [4, 12, 0], [5, 15, 3], [10, 2, 8], [9, 14, 13, 6]]
[[8, 4, 9], [6, 14, 5], [13, 0, 12], [3, 1, 10], [7, 15, 11, 2]]
[[11, 14, 0], [2, 13, 9], [4, 6, 8], [7, 5, 1], [15, 3, 10, 12]]
[[7, 4, 5], [10, 15, 8], [9, 0, 1], [3, 13, 6], [11, 14, 12, 2]]
[[13, 8, 15], [7, 12, 5], [10, 1, 4], [14, 3, 0], [2, 6, 9, 11]]
[[13, 6, 8], [4, 1, 3], [12, 9, 10], [0, 2, 15], [5, 11, 14, 7]]
[[6, 2, 3], [5, 4, 12], [7, 15, 13], [10, 9, 8], [1, 0, 14, 11]]
[[3, 7, 6], [15, 2, 12], [13, 10, 8], [4, 5, 1], [0, 14, 9, 11]]
[[14, 4, 13], [9, 6, 7], [3, 11, 0], [1, 5, 15], [12, 2, 8, 10]]
[[2, 7, 9], [15, 6, 10], [1, 13, 3], [11, 0, 5], [4, 14, 8, 12]]
[[8, 11, 7], [12, 3, 2], [15, 13, 1], [10, 4, 6], [9, 14, 0, 5]]
[[13, 15, 8], [14, 3, 12], [1, 6, 9], [7, 11, 4], [2, 5, 10, 0]]
[[13, 2, 5], [14, 11, 7], [10, 12, 0], [6, 4, 1], [9, 3, 15, 8]]
[[11, 9, 12], [4, 8, 15], [0, 10, 5], [2, 13, 1], [3, 7, 6, 14]]
[[2, 9, 12], [3, 8, 15], [6, 1, 7], [4, 11, 5], [10, 14, 13, 0]]
[[8, 14, 15], [10, 9, 5], [13, 6, 4], [0, 1, 7], [2, 3, 11, 12]]
[[8, 11, 12], [9, 2, 10], [13, 7, 1], [0, 4, 5], [14, 6, 3, 15]]
[[9, 13, 6], [2, 15, 8], [7, 5, 0], [12, 14, 1], [11, 3, 4, 10]]
[[2, 4, 0], [11, 8, 15], [6, 12, 14], [5, 9, 3], [1, 10, 7, 13]]
[[7, 9, 4], [8, 1, 5], [3, 13, 11], [2, 15, 12], [14, 10, 0, 6]]
[[1, 2, 15], [8, 5, 14], [11, 0, 13], [6, 7, 9], [3, 4, 12, 10]]
[[9, 5, 4], [3, 12, 14], [11, 8, 7], [6, 13, 10], [0, 1, 2, 15]]
[[15, 7, 1], [10, 14, 12], [8, 4, 11], [6, 2, 5], [13, 0, 3, 9]]
[[2, 1, 11], [6, 15, 7], [0, 3, 8], [4, 5, 13], [14, 10, 12, 9]]
[[3, 13, 8], [14, 12, 10], [1, 4, 11], [15, 2, 0], [5, 7, 6, 9]]
