[[0, 10, 8], [9, 3, 17], [6, 1, 4], [5, 12, 7], [16, 11, 2], [15, 13, 14]]
[[1, 14, 2], [12, 16, 6], [3, 7, 9], [10, 13, 8], [4, 15, 5], [0, 11, 17]]
[[12, 8, 1], [2, 13, 15], [5, 10, 14], [6, 11, 3], [4, 0, 9], [7, 16, 17]]
[[4, 12, 7], [14, 2, 5], [1, 8, 9], [10, 11, 13], [15, 17, 16], [6, 3, 0]]
[[1, 3, 0], [11, 9, 16], [10, 2, 12], [15, 14, 17], [6, 13, 4], [5, 8, 7]]
[[2, 11, 7], [0, 10, 16], [14, 4, 1], [17, 5, 12], [15, 9, 8], [3, 13, 6]]
[[9, 12, 17], [11, 8, 14], [15, 10, 3], [13, 4, 1], [2, 5, 16], [6, 0, 7]]
[[0, 6, 3], [10, 7, 11], [2, 4, 13], [17, 16, 8], [15, 1, 14], [9, 5, 12]]
[[5, 1, 7], [10, 4, 12], [0, 6, 2], [14, 9, 13], [3, 11, 16], [17, 15, 8]]
[[8, 6, 16], [2, 3, 11], [15, 0, 12], [10, 9, 13], [5, 14, 7], [4, 1, 17]]
[[10, 8, 6], [7, 1, 15], [14, 11, 13], [0, 3, 17], [16, 12, 5], [9, 2, 4]]
[[9, 6, 16], [1, 15, 11], [12, 7, 14], [5, 8, 0], [17, 2, 10], [13, 4, 3]]
[[3, 6, 2], [17, 4, 10], [11, 1, 7], [0, 12, 8], [14, 5, 13], [16, 15, 9]]
[[5, 3, 12], [16, 14, 6], [13, 2, 8], [9, 4, 17], [15, 0, 1], [11, 10, 7]]
[[14, 16, 11], [0, 5, 1], [12, 9, 7], [6, 10, 4], [15, 2, 13], [3, 8, 17]]
[[6, 15, 14], [0, 7, 2], [13, 1, 5], [9, 3, 12], [10, 4, 11], [17, 16, 8]]
[[15, 11, 16], [3, 12, 13], [14, 5, 9], [6, 2, 4], [10, 8, 17], [7, 0, 1]]
[[2, 13, 11], [14, 5, 8], [17, 7, 0], [16, 9, 10], [3, 4, 6], [15, 12, 1]]
[[5, 2, 17], [3, 16, 15], [13, 7, 12], [1, 9, 11], [6, 10, 14], [0, 4, 8]]
[[11, 3, 17], [12, 14, 16], [7, 8, 0], [1, 6, 10], [9, 2, 5], [13, 4, 15]]
[[13, 12, 5], [8, 3, 7], [14, 15, 0], [1, 2, 10], [17, 6, 4], [9, 11, 16]]
[[2, 6, 7], [4, 1, 17], [14, 12, 11], [0, 15, 10], [16, 5, 3], [9, 13, 8]]
[[1, 17, 10], [9, 3, 2], [11, 13, 8], [16, 15, 14], [5, 6, 4], [12, 0, 7]]
[[2, 9, 0], [11, 14, 1], [10, 17, 7], [12, 3, 5], [16, 8, 6], [13, 4, 15]]
[[1, 11, 6], [5, 0, 2], [10, 3, 4], [7, 15, 9], [13, 16, 12], [14, 17, 8]]
[[12, 10, 5], [14, 7, 0], [6, 16, 13], [11, 15, 17], [2, 3, 1], [8, 9, 4]]
[[6, 16, 1], [2, 8, 15], [0, 4, 5], [10, 14, 12], [7, 9, 17], [13, 11, 3]]
[[4, 2, 11], [15, 16, 0], [6, 12, 7], [13, 17, 1], [8, 9, 10], [3, 5, 14]]
[[15, 16, 3], [13, 5, 10], [0, 14, 8], [6, 7, 1], [12, 9, 4], [2, 11, 17]]
[[17, 2, 13], [0, 4, 11], [9, 16, 15], [5, 12, 7], [6, 3, 14], [8, 10, 1]]
[[16, 12, 15], [4, 7, 2], [8, 5, 3], [0, 1, 17], [6, 11, 10], [13, 14, 9]]
[[12, 0, 15], [9, 8, 13], [3, 17, 11], [4, 5, 2], [10, 1, 7], [6, 14, 16]]
[[7, 6, 3], [14, 5, 9], [16, 10, 15], [4, 17, 13], [8, 1, 0], [11, 12, 2]]
[[6, 14, 11], [3, 10, 2], [8, 16, 0], [15, 7, 17], [4, 13, 9], [12, 5, 1]]
[[16, 7, 10], [17, 1, 9], [5, 11, 15], [6, 14, 12], [3, 8, 13], [0, 4, 2]]
