[[15, 12, 5], [11, 13, 10], [0, 2, 8], [4, 7, 16], [18, 1, 9], [17, 14, 3, 6]]
[[13, 18, 2], [14, 10, 17], [8, 0, 11], [16, 12, 15], [5, 3, 9], [1, 4, 7, 6]]
[[10, 1, 11], [18, 2, 17], [16, 7, 6], [5, 13, 14], [15, 3, 9], [12, 8, 4, 0]]
[[0, 16, 4], [14, 12, 9], [6, 1, 7], [18, 11, 15], [3, 2, 10], [8, 17, 5, 13]]
[[18, 4, 2], [3, 10, 6], [13, 0, 15], [14, 16, 8], [12, 7, 5], [17, 11, 9, 1]]
[[16, 2, 17], [15, 1, 4], [10, 12, 7], [11, 9, 0], [5, 8, 13], [3, 18, 6, 14]]
[[18, 6, 8], [9, 7, 12], [14, 16, 3], [13, 15, 10], [17, 2, 5], [1, 4, 0, 11]]
[[14, 17, 11], [10, 8, 5], [7, 6, 0], [15, 4, 16], [2, 12, 13], [9, 3, 18, 1]]
[[13, 5, 1], [18, 0, 8], [9, 3, 15], [2, 14, 11], [10, 4, 6], [17, 12, 7, 16]]
[[3, 5, 13], [9, 17, 4], [10, 2, 14], [7, 16, 1], [8, 11, 12], [6, 15, 0, 18]]
[[14, 1, 15], [13, 8, 18], [16, 9, 17], [12, 6, 10], [0, 4, 7], [3, 11, 2, 5]]
[[17, 0, 15], [10, 3, 13], [2, 9, 14], [16, 8, 7], [5, 4, 11], [6, 18, 12, 1]]
[[7, 18, 4], [9, 6, 10], [5, 16, 15], [13, 17, 3], [14, 0, 2], [8, 11, 12, 1]]
[[13, 9, 7], [18, 2, 11], [4, 0, 8], [17, 5, 3], [14, 6, 16], [1, 10, 15, 12]]
[[2, 18, 17], [3, 5, 10], [0, 16, 9], [7, 13, 14], [6, 12, 4], [15, 11, 1, 8]]
[[7, 3, 17], [13, 12, 5], [1, 4, 6], [18, 14, 8], [16, 15, 2], [11, 0, 10, 9]]
[[3, 15, 4], [14, 7, 0], [2, 1, 5], [16, 12, 17], [6, 13, 10], [8, 18, 11, 9]]
[[18, 17, 13], [4, 16, 1], [12, 8, 14], [3, 10, 7], [15, 5, 2], [6, 0, 9, 11]]
[[11, 17, 3], [12, 14, 9], [2, 6, 15], [16, 13, 8], [10, 5, 4], [7, 18, 0, 1]]
[[11, 13, 14], [9, 0, 6], [4, 3, 16], [12, 2, 17], [5, 18, 1], [8, 7, 15, 10]]
[[3, 7, 9], [5, 6, 13], [1, 4, 10], [8, 2, 15], [14, 11, 0], [18, 17, 12, 16]]
[[11, 16, 18], [17, 0, 13], [14, 3, 9], [1, 6, 15], [5, 10, 8], [4, 12, 2, 7]]
[[8, 16, 5], [3, 17, 9], [0, 7, 2], [18, 15, 4], [6, 13, 14], [10, 12, 1, 11]]
[[1, 8, 17], [3, 14, 12], [9, 7, 13], [10, 4, 18], [16, 0, 11], [6, 2, 5, 15]]
