[[18, 8, 11], [4, 10, 0], [9, 15, 6], [19, 16, 13], [7, 3, 5, 2], [17, 12, 14, 1]]
[[1, 6, 4], [16, 11, 10], [12, 17, 7], [13, 8, 0], [14, 2, 19, 15], [18, 9, 5, 3]]
[[18, 15, 17], [8, 2, 14], [7, 19, 4], [5, 10, 6], [0, 11, 13, 9], [12, 3, 16, 1]]
[[4, 14, 9], [16, 11, 17], [3, 6, 2], [0, 18, 10], [7, 1, 12, 19], [8, 15, 13, 5]]
[[8, 14, 12], [6, 13, 19], [16, 9, 4], [10, 11, 5], [3, 1, 2, 7], [15, 17, 0, 18]]
[[19, 6, 12], [4, 14, 5], [3, 9, 18], [17, 11, 16], [15, 0, 2, 13], [1, 7, 10, 8]]
[[0, 5, 6], [8, 7, 17], [12, 18, 10], [11, 13, 19], [15, 16, 4, 1], [9, 2, 3, 14]]
[[6, 2, 17], [8, 15, 7], [5, 12, 16], [14, 3, 18], [19, 11, 9, 0], [10, 1, 4, 13]]
[[13, 12, 15], [16, 6, 9], [11, 2, 7], [5, 17, 19], [4, 3, 18, 14], [1, 0, 10, 8]]
[[11, 3, 13], [15, 10, 1], [5, 18, 8], [9, 2, 4], [0, 14, 16, 17], [12, 6, 7, 19]]
[[3, 7, 14], [11, 6, 10], [15, 12, 17], [1, 13, 0], [5, 8, 18, 19], [16, 2, 9, 4]]
[[9, 13, 11], [5, 7, 8], [2, 17, 10], [0, 16, 19], [6, 14, 15, 3], [18, 4, 1, 12]]
[[6, 5, 15], [14, 2, 19], [0, 8, 10], [13, 18, 4], [9, 7, 16, 11], [3, 17, 1, 12]]
[[2, 8, 3], [6, 17, 11], [15, 7, 9], [4, 13, 14], [19, 1, 10, 18], [0, 16, 5, 12]]
[[1, 14, 4], [0, 7, 12], [10, 17, 3], [19, 9, 15], [8, 18, 11, 2], [16, 6, 13, 5]]
[[12, 17, 0], [13, 16, 9], [7, 15, 10], [19, 2, 1], [14, 5, 3, 11], [8, 18, 6, 4]]
[[9, 5, 6], [7, 10, 18], [12, 3, 2], [1, 17, 4], [11, 16, 13, 8], [0, 14, 15, 19]]
