[[13, 12, 14], [18, 1, 20], [11, 10, 0], [17, 3, 6], [7, 8, 9], [15, 2, 5], [4, 19, 16]]
[[1, 4, 2], [13, 17, 18], [9, 6, 15], [10, 19, 7], [16, 20, 14], [8, 3, 0], [5, 12, 11]]
[[13, 0, 6], [2, 10, 16], [11, 15, 4], [18, 20, 9], [1, 3, 7], [17, 19, 5], [12, 14, 8]]
[[12, 19, 13], [6, 1, 2], [9, 11, 16], [0, 3, 4], [18, 10, 5], [7, 14, 8], [15, 20, 17]]
[[20, 4, 6], [11, 10, 17], [5, 9, 15], [16, 8, 0], [18, 14, 12], [1, 13, 19], [2, 7, 3]]
[[9, 5, 11], [12, 2, 19], [8, 0, 17], [4, 10, 16], [15, 1, 13], [20, 18, 3], [14, 6, 7]]
[[7, 3, 4], [12, 17, 5], [10, 19, 6], [16, 1, 0], [18, 2, 8], [20, 11, 14], [9, 13, 15]]
[[17, 7, 15], [2, 10, 0], [13, 1, 16], [12, 5, 20], [8, 4, 9], [6, 11, 19], [3, 14, 18]]
[[1, 13, 11], [3, 14, 9], [10, 18, 2], [20, 17, 15], [5, 0, 8], [12, 16, 7], [19, 4, 6]]
[[20, 19, 1], [4, 18, 17], [16, 6, 15], [0, 2, 12], [8, 9, 14], [3, 7, 13], [11, 10, 5]]
[[3, 14, 18], [2, 5, 13], [0, 20, 12], [8, 19, 6], [4, 7, 10], [16, 9, 1], [17, 11, 15]]
[[19, 20, 8], [15, 16, 1], [0, 10, 13], [4, 14, 9], [7, 18, 6], [3, 12, 17], [2, 5, 11]]
[[4, 9, 17], [11, 18, 20], [16, 10, 5], [13, 12, 14], [7, 8, 0], [15, 1, 19], [3, 2, 6]]
[[0, 15, 8], [18, 1, 6], [16, 7, 5], [20, 3, 9], [10, 14, 13], [17, 2, 19], [4, 12, 11]]
[[14, 9, 13], [15, 18, 7], [17, 5, 19], [2, 4, 12], [16, 3, 10], [0, 11, 1], [20, 6, 8]]
[[13, 3, 4], [14, 16, 8], [15, 12, 2], [17, 1, 20], [10, 0, 19], [9, 5, 18], [11, 6, 7]]
[[13, 1, 2], [10, 19, 16], [15, 12, 17], [14, 9, 3], [20, 11, 6], [18, 4, 7], [8, 5, 0]]
[[17, 13, 0], [6, 8, 1], [5, 14, 19], [18, 7, 10], [15, 3, 4], [20, 12, 2], [9, 11, 16]]
[[1, 7, 4], [9, 18, 3], [17, 12, 20], [6, 19, 5], [13, 10, 14], [16, 15, 11], [8, 2, 0]]
[[10, 4, 0], [16, 14, 13], [18, 7, 1], [20, 9, 17], [12, 8, 19], [2, 15, 11], [5, 6, 3]]
[[0, 15, 8], [10, 11, 5], [7, 4, 13], [19, 1, 3], [9, 12, 2], [16, 17, 6], [20, 14, 18]]
[[17, 18, 13], [2, 14, 5], [12, 11, 1], [3, 8, 15], [4, 16, 7], [0, 20, 19], [6, 9, 10]]
[[7, 15, 2], [3, 10, 6], [8, 16, 1], [19, 11, 5], [14, 17, 4], [12, 0, 9], [13, 20, 18]]
