[[21, 19, 18], [9, 8, 20], [10, 2, 1], [5, 11, 7], [12, 16, 15], [0, 17, 3], [6, 4, 13, 14]]
[[10, 13, 7], [9, 14, 18], [17, 5, 12], [1, 21, 16], [6, 11, 20], [19, 15, 2], [4, 3, 0, 8]]
[[1, 18, 5], [21, 16, 12], [3, 4, 9], [10, 7, 15], [14, 2, 19], [20, 8, 11], [13, 0, 17, 6]]
[[2, 0, 14], [10, 8, 11], [15, 9, 3], [21, 1, 13], [17, 6, 16], [4, 20, 19], [7, 18, 12, 5]]
[[13, 17, 7], [14, 12, 10], [21, 4, 1], [11, 8, 2], [16, 19, 18], [3, 6, 15], [20, 5, 9, 0]]
[[9, 7, 19], [1, 18, 16], [3, 11, 2], [10, 12, 20], [8, 13, 4], [15, 21, 6], [17, 14, 5, 0]]
[[18, 2, 9], [17, 11, 5], [4, 19, 10], [7, 15, 13], [6, 21, 20], [12, 3, 1], [16, 8, 0, 14]]
[[16, 12, 21], [0, 18, 8], [4, 11, 14], [19, 20, 15], [17, 7, 9], [1, 13, 5], [6, 10, 3, 2]]
[[11, 10, 13], [16, 4, 12], [20, 18, 19], [8, 2, 0], [7, 9, 15], [6, 1, 5], [14, 17, 3, 21]]
[[18, 1, 15], [20, 2, 8], [9, 16, 10], [14, 17, 5], [13, 11, 12], [4, 19, 0], [6, 21, 7, 3]]
[[10, 17, 8], [2, 5, 14], [19, 0, 4], [16, 13, 21], [7, 18, 6], [15, 3, 12], [11, 1, 9, 20]]
[[12, 17, 2], [15, 20, 3], [7, 10, 4], [14, 0, 11], [18, 16, 8], [13, 19, 1], [9, 6, 21, 5]]
[[3, 10, 21], [11, 1, 6], [18, 0, 2], [17, 12, 19], [20, 15, 14], [5, 16, 4], [8, 13, 9, 7]]
[[19, 4, 9], [6, 20, 10], [3, 7, 0], [21, 8, 14], [5, 15, 18], [16, 17, 12], [11, 1, 2, 13]]
[[20, 13, 0], [1, 3, 17], [16, 21, 12], [19, 11, 7], [10, 2, 15], [8, 6, 14], [5, 4, 9, 18]]
[[3, 12, 2], [13, 16, 17], [9, 21, 7], [15, 14, 19], [5, 8, 4], [10, 20, 11], [0, 18, 1, 6]]
[[15, 20, 5], [1, 9, 18], [11, 4, 19], [17, 7, 14], [0, 3, 16], [13, 12, 6], [8, 10, 21, 2]]
[[3, 15, 16], [7, 4, 13], [11, 19, 6], [10, 8, 2], [14, 9, 12], [5, 21, 18], [1, 17, 0, 20]]
[[6, 4, 12], [7, 9, 3], [13, 20, 15], [16, 21, 17], [11, 2, 8], [10, 5, 18], [14, 0, 19, 1]]
