[[6, 16, 11], [9, 21, 0], [20, 19, 7], [13, 3, 12], [1, 15, 17], [8, 18, 10, 5], [22, 4, 2, 14]]
[[7, 11, 9], [22, 5, 20], [17, 21, 16], [2, 6, 1], [15, 18, 8], [3, 4, 10, 0], [12, 14, 13, 19]]
[[19, 1, 17], [11, 9, 12], [0, 4, 15], [8, 14, 22], [16, 21, 5], [3, 6, 18, 10], [20, 13, 2, 7]]
[[9, 21, 13], [6, 5, 8], [15, 12, 14], [1, 11, 2], [3, 16, 20], [22, 18, 0, 4], [19, 10, 17, 7]]
[[17, 19, 22], [1, 10, 8], [0, 20, 12], [18, 14, 4], [9, 11, 21], [16, 5, 13, 6], [15, 7, 3, 2]]
[[14, 3, 8], [6, 21, 0], [4, 12, 18], [13, 11, 20], [7, 15, 16], [5, 22, 2, 19], [1, 17, 9, 10]]
[[1, 15, 17], [10, 12, 8], [16, 21, 3], [9, 2, 7], [18, 14, 19], [5, 22, 0, 4], [20, 13, 6, 11]]
[[9, 0, 11], [8, 10, 18], [14, 19, 12], [22, 1, 16], [15, 20, 17], [3, 4, 21, 13], [2, 5, 6, 7]]
[[14, 0, 6], [16, 22, 18], [17, 15, 5], [11, 20, 2], [19, 7, 13], [3, 10, 9, 8], [21, 12, 4, 1]]
[[2, 4, 3], [0, 18, 13], [19, 16, 10], [22, 5, 1], [12, 11, 6], [17, 7, 14, 9], [21, 8, 15, 20]]
[[16, 2, 15], [19, 20, 14], [0, 17, 22], [18, 7, 11], [10, 21, 6], [5, 9, 4, 13], [1, 12, 3, 8]]
[[16, 0, 2], [9, 1, 7], [22, 14, 15], [18, 10, 19], [8, 3, 13], [6, 20, 11, 4], [21, 5, 17, 12]]
[[1, 7, 8], [13, 15, 5], [3, 14, 22], [17, 9, 11], [2, 12, 10], [6, 21, 4, 16], [20, 0, 19, 18]]
[[13, 20, 6], [2, 15, 9], [17, 18, 12], [10, 0, 3], [1, 7, 19], [14, 11, 4, 21], [22, 16, 8, 5]]
[[13, 20, 5], [8, 21, 0], [15, 11, 14], [10, 16, 18], [2, 3, 22], [17, 7, 19, 4], [12, 1, 6, 9]]
[[22, 7, 13], [10, 1, 21], [12, 15, 20], [17, 16, 11], [2, 3, 19], [14, 8, 6, 4], [0, 5, 18, 9]]
[[2, 1, 17], [5, 16, 9], [14, 21, 20], [22, 15, 11], [6, 8, 19], [10, 3, 4, 7], [12, 18, 0, 13]]
[[9, 8, 20], [17, 7, 10], [21, 6, 13], [14, 12, 19], [2, 15, 5], [4, 18, 22, 16], [3, 1, 0, 11]]
[[19, 0, 7], [5, 10, 13], [4, 16, 1], [9, 18, 2], [12, 11, 20], [15, 8, 22, 14], [3, 17, 6, 21]]
[[13, 11, 18], [4, 15, 7], [19, 8, 17], [1, 21, 12], [0, 6, 20], [5, 9, 10, 16], [3, 2, 22, 14]]
[[19, 1, 9], [0, 13, 14], [3, 21, 7], [16, 18, 4], [12, 2, 6], [20, 5, 22, 8], [15, 17, 11, 10]]
[[6, 8, 7], [15, 9, 13], [21, 2, 0], [17, 20, 14], [1, 5, 10], [19, 22, 12, 18], [3, 4, 11, 16]]
[[3, 12, 11], [13, 20, 6], [1, 18, 7], [15, 16, 0], [2, 17, 4], [10, 19, 9, 5], [22, 21, 14, 8]]
[[9, 18, 22], [17, 15, 8], [21, 6, 1], [12, 10, 13], [4, 11, 5], [3, 14, 20, 0], [16, 19, 2, 7]]
[[3, 20, 13], [11, 22, 4], [1, 6, 21], [5, 14, 2], [10, 16, 17], [9, 7, 19, 12], [0, 15, 8, 18]]
[[20, 10, 3], [21, 11, 18], [13, 15, 17], [5, 9, 16], [8, 0, 4], [14, 22, 12, 2], [19, 6, 7, 1]]
[[18, 10, 19], [0, 4, 5], [12, 15, 21], [11, 17, 2], [13, 1, 7], [3, 9, 22, 20], [14, 16, 6, 8]]
[[2, 5, 1], [0, 10, 7], [15, 22, 8], [17, 18, 6], [9, 13, 14], [16, 11, 19, 20], [12, 4, 21, 3]]
[[7, 11, 9], [15, 1, 16], [10, 12, 4], [0, 22, 14], [6, 5, 3], [18, 21, 19, 2], [13, 20, 8, 17]]
