[[3, 17, 14], [22, 13, 4], [7, 20, 23], [18, 16, 5], [19, 1, 2], [9, 11, 0], [8, 6, 10], [15, 12, 21]]
[[11, 17, 14], [12, 6, 16], [5, 15, 19], [21, 18, 0], [7, 20, 4], [3, 13, 22], [9, 23, 8], [10, 2, 1]]
[[3, 17, 8], [1, 14, 10], [12, 2, 4], [9, 6, 23], [21, 16, 15], [19, 5, 13], [18, 0, 11], [22, 7, 20]]
[[23, 22, 3], [0, 14, 13], [1, 15, 19], [10, 8, 16], [20, 21, 5], [7, 4, 18], [17, 6, 9], [11, 12, 2]]
[[22, 13, 2], [3, 20, 9], [10, 11, 5], [15, 4, 18], [17, 6, 23], [12, 0, 7], [14, 8, 16], [1, 21, 19]]
[[23, 1, 13], [16, 20, 6], [9, 19, 22], [5, 3, 7], [8, 21, 17], [10, 12, 18], [4, 0, 11], [2, 14, 15]]
[[4, 16, 20], [2, 17, 15], [7, 12, 5], [0, 13, 11], [18, 1, 9], [21, 23, 6], [14, 3, 22], [19, 10, 8]]
[[2, 14, 6], [1, 18, 20], [15, 4, 23], [7, 22, 5], [21, 12, 17], [11, 16, 19], [0, 13, 3], [8, 10, 9]]
[[23, 18, 21], [5, 11, 0], [10, 15, 19], [14, 12, 4], [22, 9, 13], [16, 17, 6], [2, 3, 7], [20, 8, 1]]
[[14, 11, 13], [17, 6, 19], [20, 22, 21], [5, 1, 12], [16, 10, 3], [15, 7, 4], [2, 0, 18], [23, 8, 9]]
[[16, 11, 19], [0, 13, 18], [12, 6, 7], [17, 9, 15], [14, 10, 5], [3, 8, 21], [1, 4, 2], [22, 20, 23]]
[[3, 10, 14], [9, 22, 15], [2, 18, 19], [13, 6, 5], [7, 21, 4], [11, 16, 12], [17, 1, 20], [0, 8, 23]]
[[1, 0, 2], [22, 18, 11], [15, 17, 7], [10, 5, 12], [23, 3, 16], [20, 21, 14], [9, 8, 6], [4, 13, 19]]
[[16, 1, 8], [4, 11, 6], [10, 7, 23], [19, 0, 17], [18, 3, 21], [2, 13, 9], [5, 22, 12], [20, 14, 15]]
[[12, 11, 23], [14, 9, 17], [3, 2, 15], [20, 6, 1], [7, 16, 18], [8, 0, 19], [10, 5, 22], [4, 21, 13]]
[[14, 5, 0], [1, 9, 23], [7, 6, 3], [12, 13, 11], [8, 22, 16], [15, 19, 20], [17, 4, 18], [2, 10, 21]]
[[9, 18, 5], [15, 16, 23], [12, 11, 1], [7, 20, 22], [14, 2, 3], [4, 19, 17], [10, 13, 21], [6, 8, 0]]
[[10, 7, 4], [11, 15, 3], [13, 21, 2], [9, 1, 17], [14, 16, 23], [5, 20, 18], [12, 19, 22], [0, 8, 6]]
[[19, 20, 14], [15, 13, 22], [4, 11, 21], [2, 1, 16], [0, 23, 7], [3, 6, 10], [8, 5, 17], [12, 18, 9]]
[[6, 4, 8], [7, 14, 10], [1, 11, 21], [18, 17, 5], [15, 23, 19], [20, 0, 2], [12, 9, 22], [13, 3, 16]]
[[17, 2, 20], [9, 16, 14], [15, 18, 19], [4, 21, 22], [10, 5, 8], [12, 6, 23], [3, 7, 11], [0, 1, 13]]
[[13, 23, 5], [14, 17, 0], [12, 2, 21], [22, 15, 18], [11, 16, 6], [8, 7, 9], [20, 19, 10], [3, 1, 4]]
[[15, 6, 11], [16, 0, 12], [1, 14, 20], [17, 21, 19], [18, 3, 22], [23, 8, 9], [4, 10, 13], [7, 5, 2]]
[[11, 21, 3], [23, 7, 2], [15, 16, 19], [1, 13, 12], [22, 10, 4], [14, 18, 6], [9, 5, 8], [0, 17, 20]]
[[13, 2, 3], [18, 9, 7], [23, 10, 21], [4, 1, 6], [5, 15, 22], [12, 17, 19], [8, 20, 16], [0, 14, 11]]
[[19, 23, 4], [18, 0, 10], [22, 20, 14], [2, 11, 17], [8, 15, 9], [3, 12, 13], [7, 5, 6], [1, 16, 21]]
[[16, 21, 8], [2, 17, 10], [13, 5, 6], [18, 9, 23], [0, 15, 14], [3, 12, 19], [4, 20, 11], [22, 1, 7]]
[[7, 9, 13], [14, 17, 23], [11, 0, 8], [21, 10, 6], [1, 18, 16], [4, 19, 22], [2, 12, 20], [15, 5, 3]]
[[22, 13, 4], [9, 18, 17], [23, 1, 21], [8, 6, 5], [20, 10, 19], [11, 2, 0], [16, 7, 15], [14, 3, 12]]
[[15, 19, 17], [20, 23, 13], [22, 12, 5], [3, 1, 6], [8, 14, 21], [9, 2, 4], [16, 11, 10], [18, 0, 7]]
[[11, 9, 23], [4, 17, 20], [15, 16, 6], [18, 10, 8], [3, 21, 7], [14, 1, 19], [2, 22, 13], [12, 5, 0]]
[[6, 19, 22], [13, 23, 9], [20, 17, 8], [12, 16, 0], [15, 4, 11], [14, 5, 3], [10, 2, 18], [7, 1, 21]]
[[6, 15, 1], [18, 2, 14], [21, 16, 22], [20, 3, 8], [5, 7, 10], [19, 11, 9], [12, 0, 17], [13, 23, 4]]
[[5, 4, 18], [3, 16, 23], [8, 13, 9], [7, 22, 17], [15, 2, 14], [1, 20, 0], [6, 10, 19], [12, 21, 11]]
