[[19, 23, 22], [17, 11, 18], [9, 15, 0], [4, 14, 7], [12, 5, 20], [6, 16, 1], [13, 3, 8], [24, 10, 2, 21]]
[[14, 8, 9], [11, 16, 17], [3, 19, 5], [21, 24, 6], [12, 15, 20], [2, 10, 1], [7, 0, 22], [13, 23, 18, 4]]
[[7, 5, 16], [17, 12, 6], [4, 9, 8], [13, 0, 23], [19, 20, 11], [24, 10, 3], [21, 14, 15], [18, 1, 2, 22]]
[[14, 13, 11], [17, 15, 12], [3, 5, 16], [1, 6, 21], [20, 23, 22], [4, 7, 24], [0, 10, 18], [9, 8, 2, 19]]
[[4, 5, 20], [2, 24, 11], [3, 6, 9], [13, 8, 0], [10, 23, 21], [17, 22, 16], [7, 12, 1], [19, 18, 15, 14]]
[[0, 24, 15], [12, 5, 13], [9, 14, 23], [16, 10, 7], [8, 19, 3], [20, 4, 6], [17, 11, 18], [22, 21, 2, 1]]
[[8, 4, 14], [3, 2, 16], [22, 11, 12], [17, 15, 19], [21, 0, 24], [23, 18, 20], [1, 7, 10], [9, 13, 5, 6]]
[[0, 12, 5], [11, 23, 1], [18, 13, 15], [3, 20, 21], [9, 10, 6], [24, 17, 4], [7, 14, 8], [2, 22, 19, 16]]
[[15, 10, 22], [16, 3, 17], [4, 1, 19], [18, 0, 8], [11, 13, 14], [6, 9, 7], [2, 23, 5], [21, 12, 20, 24]]
[[6, 15, 22], [13, 2, 9], [11, 18, 0], [5, 8, 7], [20, 17, 3], [16, 10, 23], [4, 1, 24], [21, 12, 14, 19]]
[[8, 24, 7], [19, 20, 23], [13, 3, 5], [6, 2, 15], [1, 12, 21], [4, 0, 18], [22, 17, 10], [9, 11, 16, 14]]
[[19, 11, 15], [8, 4, 18], [3, 16, 22], [1, 14, 10], [23, 21, 6], [9, 20, 12], [0, 2, 5], [13, 7, 17, 24]]
[[6, 0, 1], [21, 12, 10], [22, 4, 24], [18, 13, 3], [17, 23, 14], [15, 20, 9], [16, 8, 19], [7, 11, 5, 2]]
[[24, 0, 13], [20, 9, 21], [6, 15, 23], [5, 17, 2], [8, 1, 4], [3, 22, 19], [16, 10, 11], [18, 14, 7, 12]]
