[[27, 21, 12], [29, 2, 16], [13, 8, 32], [26, 4, 14], [23, 1, 18], [33, 20, 31], [34, 7, 5], [30, 11, 6], [25, 28, 3], [24, 10, 15, 9], [0, 22, 19, 17]]
[[24, 11, 3], [33, 20, 18], [2, 23, 30], [14, 26, 21], [19, 27, 10], [15, 13, 7], [5, 9, 22], [29, 17, 6], [4, 34, 16], [31, 12, 0, 8], [32, 25, 1, 28]]
[[34, 13, 12], [30, 0, 15], [2, 14, 17], [5, 18, 19], [10, 28, 20], [31, 27, 32], [9, 22, 33], [23, 26, 16], [24, 11, 21], [8, 6, 29, 3], [1, 4, 7, 25]]
[[31, 10, 12], [17, 24, 9], [1, 21, 5], [6, 4, 23], [7, 19, 13], [25, 0, 32], [29, 20, 33], [11, 2, 34], [15, 27, 8], [22, 26, 16, 3], [28, 30, 14, 18]]
[[28, 4, 9], [3, 17, 11], [30, 27, 16], [15, 31, 5], [19, 14, 7], [22, 20, 1], [0, 32, 23], [33, 6, 2], [29, 24, 21], [13, 26, 10, 8], [18, 34, 25, 12]]
[[32, 17, 26], [11, 33, 27], [8, 31, 5], [13, 14, 3], [2, 24, 15], [21, 1, 25], [22, 23, 20], [0, 10, 34], [29, 16, 28], [30, 12, 19, 6], [7, 18, 4, 9]]
[[16, 13, 23], [28, 22, 19], [7, 1, 18], [5, 2, 29], [3, 32, 10], [34, 31, 0], [26, 14, 11], [12, 30, 6], [33, 27, 8], [17, 21, 15, 9], [20, 24, 4, 25]]
[[11, 5, 28], [1, 0, 15], [4, 24, 23], [16, 7, 22], [2, 27, 33], [32, 8, 14], [20, 29, 26], [21, 34, 19], [30, 10, 18], [12, 13, 9, 25], [6, 3, 17, 31]]
[[25, 14, 33], [29, 7, 23], [1, 10, 24], [20, 30, 16], [28, 15, 27], [34, 2, 31], [4, 32, 18], [17, 13, 3], [19, 9, 26], [0, 22, 5, 21], [6, 11, 8, 12]]
[[24, 25, 11], [4, 15, 29], [10, 1, 22], [28, 8, 6], [2, 12, 23], [17, 7, 3], [5, 34, 9], [19, 30, 21], [18, 33, 0], [27, 20, 16, 14], [13, 32, 26, 31]]
[[21, 34, 25], [29, 5, 8], [9, 33, 28], [31, 4, 13], [17, 2, 12], [16, 11, 1], [10, 30, 20], [7, 19, 3], [22, 6, 15], [24, 14, 23, 0], [26, 18, 27, 32]]
[[5, 32, 16], [30, 12, 17], [23, 15, 22], [3, 24, 10], [31, 27, 8], [11, 1, 2], [20, 14, 18], [9, 13, 4], [7, 21, 26], [34, 28, 29, 25], [33, 0, 6, 19]]
[[9, 19, 22], [8, 25, 6], [16, 3, 0], [23, 32, 29], [33, 21, 17], [14, 26, 34], [7, 12, 20], [31, 11, 30], [1, 2, 13], [5, 24, 15, 28], [4, 18, 10, 27]]
[[9, 26, 30], [3, 22, 25], [2, 14, 33], [4, 0, 21], [15, 11, 12], [28, 27, 18], [34, 17, 1], [32, 31, 23], [7, 6, 16], [24, 19, 20, 10], [13, 8, 29, 5]]
[[15, 3, 1], [28, 29, 27], [10, 25, 6], [14, 2, 24], [9, 30, 4], [23, 12, 0], [21, 31, 8], [33, 22, 7], [19, 20, 26], [34, 5, 11, 16], [32, 13, 18, 17]]
