[[37, 31, 4], [18, 36, 44], [42, 5, 25], [45, 9, 35], [14, 16, 11], [28, 19, 23], [1, 34, 21], [46, 22, 0], [30, 26, 48], [32, 12, 17], [15, 33, 27], [47, 6, 8], [3, 2, 24], [13, 38, 41], [43, 39, 40], [7, 29, 20, 10]]
[[36, 37, 45], [0, 32, 34], [30, 17, 6], [38, 22, 15], [14, 11, 18], [31, 13, 41], [5, 47, 46], [42, 10, 12], [43, 48, 9], [40, 3, 28], [4, 27, 33], [23, 26, 29], [39, 20, 35], [1, 16, 2], [19, 21, 8], [44, 25, 24, 7]]
[[39, 8, 1], [35, 12, 0], [22, 18, 34], [32, 43, 20], [30, 38, 40], [33, 21, 5], [14, 27, 44], [17, 41, 26], [11, 47, 15], [3, 19, 16], [13, 25, 42], [6, 37, 7], [46, 28, 31], [4, 48, 10], [2, 36, 23], [24, 45, 29, 9]]
[[21, 15, 40], [28, 34, 18], [2, 12, 4], [31, 8, 16], [26, 39, 25], [17, 6, 13], [0, 7, 14], [5, 29, 47], [37, 46, 44], [42, 10, 38], [23, 36, 11], [41, 32, 1], [48, 20, 27], [24, 30, 35], [9, 45, 3], [33, 43, 19, 22]]
[[12, 18, 0], [28, 22, 6], [34, 15, 35], [17, 19, 23], [46, 10, 8], [39, 32, 37], [47, 7, 29], [14, 9, 40], [13, 38, 44], [24, 2, 4], [31, 27, 3], [26, 5, 25], [30, 36, 21], [33, 11, 16], [20, 43, 1], [41, 42, 48, 45]]
[[39, 42, 10], [30, 0, 22], [13, 3, 5], [25, 26, 27], [21, 43, 29], [4, 6, 17], [36, 24, 1], [33, 45, 37], [35, 31, 46], [44, 14, 18], [12, 16, 23], [48, 8, 47], [19, 40, 38], [41, 9, 15], [34, 2, 11], [32, 20, 7, 28]]
[[24, 37, 17], [0, 38, 23], [21, 1, 9], [48, 20, 36], [41, 31, 13], [3, 15, 30], [47, 42, 27], [46, 14, 28], [8, 22, 5], [33, 19, 4], [7, 39, 44], [6, 25, 26], [40, 18, 43], [34, 32, 45], [10, 29, 11], [12, 35, 16, 2]]
[[23, 21, 8], [39, 30, 9], [22, 19, 40], [3, 18, 47], [7, 16, 41], [34, 27, 36], [28, 35, 24], [33, 12, 20], [1, 38, 37], [31, 43, 45], [6, 2, 29], [14, 5, 0], [32, 25, 46], [44, 17, 13], [42, 48, 4], [10, 15, 11, 26]]
[[34, 42, 23], [48, 13, 22], [7, 29, 43], [39, 8, 33], [18, 41, 17], [32, 30, 40], [28, 4, 24], [38, 37, 2], [44, 6, 47], [14, 36, 11], [5, 12, 3], [26, 27, 45], [15, 9, 1], [25, 31, 10], [16, 35, 19], [46, 0, 20, 21]]
[[11, 44, 5], [47, 22, 9], [13, 8, 41], [16, 24, 42], [45, 39, 38], [18, 29, 0], [33, 4, 23], [19, 2, 43], [14, 25, 32], [35, 28, 15], [26, 17, 37], [21, 20, 1], [36, 48, 31], [12, 27, 34], [40, 30, 7], [46, 3, 6, 10]]
[[34, 36, 35], [42, 26, 28], [25, 5, 18], [37, 23, 2], [9, 27, 1], [15, 16, 30], [22, 38, 24], [45, 12, 13], [3, 44, 7], [33, 47, 6], [10, 32, 20], [43, 0, 46], [17, 14, 4], [41, 40, 8], [11, 21, 29], [48, 19, 39, 31]]
[[25, 26, 32], [14, 13, 0], [11, 1, 3], [43, 18, 10], [35, 17, 24], [31, 30, 46], [5, 19, 4], [16, 39, 42], [7, 45, 2], [20, 12, 9], [47, 37, 6], [21, 41, 38], [22, 15, 23], [40, 33, 44], [48, 8, 34], [27, 36, 28, 29]]
[[7, 26, 46], [35, 6, 31], [15, 19, 25], [20, 8, 21], [38, 44, 23], [27, 48, 36], [41, 10, 3], [37, 14, 42], [33, 30, 5], [45, 28, 24], [34, 18, 40], [29, 13, 43], [12, 1, 32], [17, 9, 16], [4, 39, 2], [11, 47, 22, 0]]
[[4, 32, 41], [42, 36, 1], [29, 19, 10], [11, 7, 45], [26, 34, 15], [12, 28, 33], [38, 39, 18], [5, 48, 44], [35, 17, 40], [3, 24, 14], [21, 20, 27], [8, 46, 30], [22, 23, 25], [2, 37, 6], [47, 9, 31], [13, 43, 0, 16]]
[[2, 22, 29], [14, 35, 32], [36, 40, 16], [30, 25, 24], [0, 28, 26], [34, 3, 44], [41, 33, 17], [1, 4, 46], [39, 13, 38], [42, 10, 21], [9, 48, 37], [31, 15, 11], [45, 5, 47], [27, 18, 43], [12, 23, 20], [8, 6, 19, 7]]
[[22, 5, 35], [8, 34, 44], [26, 10, 19], [37, 30, 32], [27, 13, 1], [18, 40, 23], [39, 25, 14], [45, 47, 20], [17, 21, 2], [29, 33, 16], [4, 7, 12], [24, 0, 38], [3, 41, 42], [28, 9, 46], [43, 36, 48], [31, 15, 11, 6]]
[[14, 36, 31], [4, 25, 5], [35, 33, 16], [6, 22, 12], [3, 32, 17], [1, 11, 34], [26, 18, 38], [43, 8, 13], [47, 7, 0], [39, 42, 20], [19, 46, 27], [2, 15, 41], [24, 28, 10], [37, 29, 23], [44, 48, 30], [21, 9, 45, 40]]
[[19, 35, 14], [48, 10, 41], [24, 18, 44], [9, 34, 33], [16, 38, 32], [3, 17, 39], [37, 2, 27], [31, 36, 46], [15, 43, 29], [20, 42, 45], [7, 47, 23], [28, 6, 26], [22, 0, 30], [11, 8, 13], [40, 1, 25], [21, 5, 12, 4]]
[[36, 19, 43], [48, 24, 18], [34, 26, 45], [7, 8, 4], [13, 12, 47], [37, 16, 42], [29, 33, 38], [5, 9, 15], [0, 25, 40], [20, 28, 39], [21, 22, 17], [6, 3, 32], [2, 14, 35], [46, 11, 30], [23, 27, 31], [44, 41, 10, 1]]
[[2, 34, 20], [38, 48, 35], [40, 25, 6], [9, 44, 39], [42, 1, 14], [22, 4, 43], [45, 30, 26], [11, 27, 28], [31, 47, 0], [12, 24, 17], [23, 29, 10], [37, 33, 15], [13, 8, 3], [46, 21, 36], [5, 16, 41], [18, 32, 7, 19]]
[[48, 12, 35], [10, 6, 18], [26, 1, 15], [41, 7, 31], [33, 9, 17], [11, 21, 14], [23, 13, 0], [36, 30, 3], [19, 22, 8], [25, 43, 16], [2, 29, 24], [27, 20, 47], [4, 46, 39], [40, 5, 32], [28, 45, 42], [37, 34, 38, 44]]
[[12, 20, 25], [31, 45, 26], [30, 24, 34], [46, 4, 37], [48, 32, 3], [6, 43, 5], [44, 21, 16], [42, 23, 14], [9, 40, 22], [39, 11, 28], [18, 35, 41], [7, 29, 19], [36, 47, 8], [38, 0, 33], [10, 17, 2], [27, 1, 13, 15]]
[[17, 12, 45], [25, 41, 26], [28, 46, 35], [8, 37, 36], [47, 42, 21], [30, 14, 48], [4, 23, 39], [24, 1, 22], [2, 31, 3], [15, 18, 13], [11, 43, 7], [19, 0, 16], [9, 34, 32], [38, 5, 27], [44, 6, 40], [20, 10, 33, 29]]
