[[7, 6, 9], [1, 12, 3], [4, 5, 13], [15, 16, 8], [10, 14, 11], [0, 2, 17]]
[[15, 14, 5], [3, 0, 17], [1, 13, 6], [4, 2, 11], [10, 9, 12], [7, 16, 8]]
[[1, 8, 14], [12, 9, 13], [6, 5, 3], [15, 16, 2], [7, 0, 10], [11, 17, 4]]
[[10, 2, 16], [17, 6, 11], [9, 7, 5], [15, 8, 3], [13, 14, 4], [0, 1, 12]]
[[17, 15, 13], [12, 7, 10], [3, 8, 1], [5, 14, 2], [6, 4, 11], [9, 0, 16]]
[[15, 10, 13], [7, 8, 6], [2, 0, 14], [11, 17, 1], [4, 3, 12], [9, 5, 16]]
[[0, 11, 16], [8, 5, 4], [2, 6, 9], [14, 15, 7], [13, 12, 3], [10, 17, 1]]
[[6, 2, 14], [16, 0, 11], [15, 12, 1], [4, 13, 7], [10, 5, 17], [9, 8, 3]]
[[10, 5, 11], [17, 2, 8], [6, 16, 13], [15, 14, 3], [12, 7, 4], [9, 1, 0]]
[[6, 1, 8], [15, 2, 3], [12, 17, 14], [4, 10, 0], [5, 13, 16], [7, 11, 9]]
[[8, 14, 0], [2, 7, 13], [5, 10, 3], [6, 4, 9], [11, 15, 16], [17, 1, 12]]
[[10, 9, 4], [11, 6, 3], [0, 17, 5], [2, 7, 8], [15, 16, 13], [14, 1, 12]]
[[12, 14, 15], [8, 3, 16], [13, 4, 6], [10, 17, 7], [1, 9, 11], [5, 2, 0]]
[[15, 4, 13], [17, 0, 5], [2, 16, 8], [10, 6, 9], [12, 7, 1], [11, 3, 14]]
[[1, 2, 10], [14, 4, 7], [12, 6, 8], [15, 17, 3], [16, 9, 13], [5, 11, 0]]
[[10, 8, 7], [4, 17, 14], [9, 15, 12], [6, 2, 0], [16, 5, 3], [1, 13, 11]]
[[16, 14, 6], [0, 8, 10], [13, 7, 3], [4, 12, 17], [15, 2, 9], [1, 5, 11]]
[[12, 9, 15], [13, 1, 5], [4, 6, 3], [2, 11, 16], [8, 14, 0], [7, 17, 10]]
[[2, 14, 17], [8, 5, 0], [11, 13, 15], [7, 4, 3], [12, 6, 9], [16, 10, 1]]
[[6, 10, 11], [3, 15, 8], [14, 1, 13], [16, 7, 9], [2, 4, 12], [17, 0, 5]]
[[16, 2, 6], [11, 14, 1], [5, 4, 10], [3, 13, 17], [8, 9, 0], [12, 7, 15]]
[[14, 10, 0], [6, 3, 1], [9, 4, 7], [13, 17, 5], [2, 11, 12], [16, 8, 15]]
[[15, 17, 8], [5, 9, 14], [2, 12, 6], [4, 3, 0], [13, 11, 7], [10, 16, 1]]
[[10, 13, 7], [15, 14, 16], [12, 1, 8], [11, 9, 4], [6, 2, 3], [17, 5, 0]]
[[1, 8, 11], [0, 13, 16], [4, 10, 3], [6, 12, 7], [9, 15, 14], [17, 5, 2]]
[[13, 12, 11], [16, 14, 0], [6, 2, 5], [10, 4, 1], [9, 17, 15], [7, 3, 8]]
[[7, 2, 6], [10, 5, 13], [12, 8, 15], [3, 11, 1], [17, 14, 4], [9, 16, 0]]
[[12, 3, 7], [1, 5, 4], [8, 17, 0], [11, 13, 14], [2, 15, 16], [9, 6, 10]]
[[4, 3, 15], [5, 2, 9], [11, 16, 7], [1, 6, 14], [17, 12, 8], [10, 13, 0]]
[[15, 9, 11], [14, 7, 4], [16, 10, 1], [12, 3, 2], [6, 5, 8], [13, 0, 17]]
[[10, 6, 9], [11, 14, 0], [8, 17, 13], [15, 7, 12], [3, 2, 16], [4, 5, 1]]
[[3, 5, 12], [13, 17, 9], [11, 14, 8], [1, 16, 2], [15, 4, 0], [6, 7, 10]]
[[1, 2, 7], [9, 15, 13], [17, 11, 10], [5, 3, 6], [8, 16, 14], [12, 0, 4]]
[[14, 13, 16], [15, 10, 1], [2, 5, 7], [11, 0, 17], [8, 9, 12], [6, 3, 4]]
[[11, 6, 10], [13, 12, 7], [9, 1, 0], [3, 17, 16], [5, 4, 15], [14, 2, 8]]
[[13, 6, 7], [9, 14, 0], [10, 2, 15], [11, 4, 16], [17, 3, 5], [1, 12, 8]]
[[0, 7, 10], [3, 2, 12], [1, 11, 4], [15, 13, 8], [17, 9, 5], [6, 14, 16]]
[[3, 9, 10], [11, 2, 1], [0, 8, 6], [13, 15, 17], [12, 16, 5], [4, 14, 7]]
[[4, 0, 2], [16, 6, 1], [9, 11, 13], [7, 14, 5], [17, 15, 8], [12, 10, 3]]
[[6, 10, 17], [4, 15, 7], [13, 14, 2], [5, 0, 3], [11, 9, 8], [1, 16, 12]]
[[13, 10, 14], [7, 12, 15], [16, 0, 4], [3, 17, 6], [1, 9, 8], [2, 11, 5]]
[[3, 4, 1], [16, 17, 2], [15, 7, 11], [5, 0, 13], [8, 6, 14], [10, 9, 12]]
[[15, 5, 17], [2, 16, 4], [9, 11, 0], [6, 7, 10], [14, 13, 12], [3, 1, 8]]
[[6, 10, 2], [8, 3, 12], [9, 4, 1], [13, 11, 16], [15, 17, 5], [0, 7, 14]]
[[14, 5, 6], [8, 17, 0], [2, 4, 9], [10, 13, 1], [15, 16, 12], [7, 11, 3]]
[[1, 7, 2], [8, 13, 4], [9, 10, 5], [6, 16, 17], [3, 0, 15], [11, 12, 14]]
[[3, 0, 13], [4, 2, 16], [12, 15, 9], [1, 14, 7], [6, 5, 10], [17, 11, 8]]
[[14, 15, 10], [7, 8, 11], [5, 2, 4], [0, 1, 13], [9, 17, 3], [12, 16, 6]]
[[8, 12, 6], [4, 2, 9], [13, 7, 1], [0, 5, 3], [15, 10, 17], [11, 16, 14]]
[[9, 0, 1], [14, 15, 7], [10, 3, 8], [2, 11, 13], [16, 17, 4], [6, 5, 12]]
[[14, 13, 9], [0, 5, 17], [15, 3, 10], [12, 8, 16], [2, 4, 6], [1, 11, 7]]
[[15, 8, 14], [4, 13, 16], [3, 1, 17], [7, 9, 0], [12, 2, 10], [11, 6, 5]]
[[16, 7, 0], [5, 1, 11], [2, 6, 14], [13, 8, 3], [10, 12, 4], [17, 9, 15]]
[[2, 3, 0], [11, 10, 1], [13, 14, 6], [4, 7, 16], [15, 9, 12], [5, 8, 17]]
