[[12, 6, 2], [17, 15, 11], [5, 14, 18], [10, 0, 16], [3, 4, 8], [1, 7, 9, 13]]
[[7, 0, 17], [5, 13, 8], [12, 4, 3], [18, 9, 14], [1, 11, 6], [10, 2, 15, 16]]
[[8, 9, 6], [4, 13, 18], [11, 15, 12], [1, 2, 7], [14, 3, 10], [17, 5, 16, 0]]
[[2, 6, 4], [7, 9, 0], [8, 3, 17], [11, 12, 5], [16, 13, 1], [18, 15, 10, 14]]
[[8, 6, 4], [5, 0, 1], [7, 13, 9], [10, 2, 12], [11, 16, 14], [18, 3, 17, 15]]
[[0, 14, 3], [11, 2, 15], [13, 10, 5], [16, 18, 7], [9, 6, 17], [8, 1, 12, 4]]
[[4, 3, 15], [9, 10, 16], [6, 8, 0], [11, 5, 2], [12, 7, 17], [1, 14, 13, 18]]
[[14, 3, 4], [11, 7, 8], [2, 5, 13], [0, 12, 6], [10, 1, 16], [18, 15, 17, 9]]
[[8, 0, 14], [10, 18, 4], [2, 13, 5], [1, 11, 17], [7, 15, 3], [6, 12, 9, 16]]
[[11, 12, 7], [9, 4, 17], [1, 5, 13], [0, 6, 2], [16, 15, 10], [18, 14, 3, 8]]
[[6, 4, 7], [3, 1, 18], [8, 13, 10], [14, 9, 12], [0, 5, 2], [16, 17, 11, 15]]
[[14, 3, 0], [16, 17, 1], [12, 18, 6], [13, 10, 2], [11, 7, 8], [9, 4, 15, 5]]
[[12, 10, 14], [5, 11, 16], [15, 6, 7], [1, 18, 17], [8, 13, 2], [0, 4, 3, 9]]
[[3, 10, 7], [12, 15, 2], [4, 18, 14], [11, 8, 6], [16, 13, 5], [1, 9, 17, 0]]
[[8, 16, 12], [17, 5, 4], [13, 10, 11], [0, 3, 18], [7, 1, 9], [15, 2, 6, 14]]
[[15, 9, 17], [3, 13, 11], [18, 1, 10], [0, 8, 4], [6, 7, 12], [2, 16, 5, 14]]
[[0, 2, 6], [12, 7, 1], [11, 8, 14], [4, 15, 10], [9, 3, 18], [5, 17, 13, 16]]
[[12, 2, 15], [16, 4, 9], [7, 17, 14], [8, 6, 18], [1, 3, 11], [10, 13, 0, 5]]
[[5, 0, 4], [11, 13, 1], [10, 18, 14], [3, 12, 16], [2, 15, 7], [9, 6, 8, 17]]
[[17, 2, 9], [12, 3, 4], [8, 5, 11], [6, 10, 18], [0, 13, 14], [7, 16, 15, 1]]
[[5, 7, 6], [12, 17, 8], [14, 13, 9], [1, 4, 2], [11, 3, 15], [0, 18, 10, 16]]
[[14, 11, 3], [0, 8, 17], [4, 16, 9], [6, 1, 10], [15, 7, 2], [18, 13, 5, 12]]
[[12, 0, 1], [6, 3, 2], [10, 5, 18], [11, 16, 13], [7, 4, 8], [15, 14, 9, 17]]
[[10, 12, 6], [13, 17, 1], [9, 8, 0], [7, 11, 3], [5, 18, 16], [14, 4, 2, 15]]
[[8, 15, 16], [18, 14, 6], [10, 9, 2], [3, 13, 4], [17, 11, 0], [5, 1, 12, 7]]
[[9, 14, 17], [1, 0, 10], [11, 4, 13], [18, 5, 8], [7, 12, 6], [15, 2, 3, 16]]
[[6, 15, 4], [0, 2, 13], [3, 9, 8], [14, 18, 7], [11, 16, 1], [5, 10, 12, 17]]
[[6, 2, 5], [1, 8, 12], [11, 13, 7], [9, 18, 14], [3, 16, 0], [15, 17, 4, 10]]
[[11, 3, 5], [4, 9, 15], [10, 16, 17], [0, 6, 12], [14, 13, 18], [1, 7, 2, 8]]
[[18, 8, 11], [15, 17, 14], [1, 4, 5], [7, 10, 2], [13, 9, 12], [3, 0, 16, 6]]
[[18, 3, 2], [1, 8, 0], [11, 5, 13], [4, 16, 6], [10, 17, 14], [12, 15, 9, 7]]
[[14, 8, 0], [15, 5, 11], [13, 17, 4], [6, 18, 10], [1, 3, 16], [12, 7, 2, 9]]
[[13, 18, 0], [15, 3, 11], [8, 14, 5], [2, 9, 7], [12, 4, 1], [6, 10, 16, 17]]
[[2, 9, 6], [5, 18, 12], [11, 10, 14], [15, 16, 17], [4, 8, 7], [13, 1, 0, 3]]
[[4, 0, 18], [2, 8, 14], [1, 10, 17], [6, 13, 16], [15, 9, 5], [7, 12, 11, 3]]
[[10, 17, 2], [8, 3, 4], [7, 16, 0], [18, 14, 11], [1, 6, 12], [15, 13, 5, 9]]
[[13, 5, 1], [2, 3, 15], [10, 7, 4], [18, 16, 14], [11, 12, 0], [6, 9, 17, 8]]
[[8, 18, 3], [0, 9, 7], [16, 4, 11], [15, 12, 5], [10, 1, 2], [6, 14, 13, 17]]
[[17, 9, 8], [4, 3, 7], [14, 5, 1], [12, 13, 18], [10, 15, 0], [16, 11, 2, 6]]
[[5, 7, 14], [3, 2, 4], [15, 17, 11], [12, 8, 10], [16, 18, 13], [0, 1, 6, 9]]
[[9, 5, 2], [18, 0, 12], [6, 16, 4], [7, 1, 10], [13, 14, 11], [3, 17, 15, 8]]
[[18, 14, 11], [17, 3, 1], [15, 5, 13], [9, 8, 7], [16, 4, 2], [12, 0, 6, 10]]
[[4, 7, 13], [6, 11, 17], [8, 1, 0], [2, 5, 14], [12, 15, 16], [3, 10, 9, 18]]
[[11, 6, 7], [10, 2, 15], [18, 1, 14], [0, 8, 9], [5, 3, 16], [12, 17, 4, 13]]
[[5, 13, 3], [4, 8, 0], [12, 11, 14], [18, 9, 2], [6, 7, 15], [17, 1, 16, 10]]
[[16, 9, 1], [2, 3, 8], [12, 5, 15], [13, 0, 17], [18, 7, 14], [4, 10, 6, 11]]
[[4, 12, 15], [14, 3, 16], [6, 18, 8], [9, 10, 2], [7, 17, 13], [1, 5, 0, 11]]
[[18, 4, 6], [2, 16, 15], [17, 10, 13], [5, 12, 11], [0, 7, 1], [9, 3, 8, 14]]
[[5, 3, 14], [11, 4, 12], [15, 0, 2], [10, 9, 18], [1, 13, 7], [6, 17, 8, 16]]
[[6, 11, 10], [16, 17, 2], [4, 5, 9], [13, 1, 8], [0, 3, 18], [12, 15, 7, 14]]
[[18, 3, 6], [12, 15, 13], [11, 10, 7], [17, 5, 2], [16, 4, 14], [1, 9, 8, 0]]
[[18, 14, 15], [4, 17, 13], [10, 5, 3], [2, 16, 9], [1, 0, 11], [12, 7, 6, 8]]
[[10, 5, 13], [6, 11, 4], [14, 3, 12], [15, 2, 17], [7, 8, 1], [9, 18, 0, 16]]
[[17, 7, 10], [16, 1, 4], [13, 5, 11], [0, 14, 18], [12, 15, 3], [8, 9, 6, 2]]
[[17, 13, 0], [14, 2, 5], [1, 6, 10], [3, 8, 18], [16, 4, 7], [9, 15, 11, 12]]
[[7, 14, 15], [9, 17, 6], [4, 8, 18], [12, 10, 2], [5, 16, 1], [11, 3, 13, 0]]
[[16, 12, 15], [5, 4, 17], [0, 13, 3], [18, 6, 2], [11, 1, 7], [8, 14, 9, 10]]
[[13, 10, 4], [1, 15, 14], [11, 5, 2], [12, 18, 16], [0, 9, 8], [17, 6, 3, 7]]
[[18, 17, 11], [16, 0, 9], [1, 12, 14], [8, 2, 4], [13, 3, 5], [7, 15, 6, 10]]
[[17, 9, 1], [12, 8, 3], [5, 15, 2], [7, 18, 4], [16, 11, 13], [6, 0, 10, 14]]
[[15, 16, 1], [0, 14, 5], [7, 6, 3], [11, 17, 18], [13, 2, 9], [4, 10, 8, 12]]
[[16, 6, 10], [3, 12, 4], [14, 2, 18], [9, 0, 17], [5, 13, 1], [8, 15, 7, 11]]
[[18, 3, 10], [6, 12, 4], [17, 8, 5], [7, 16, 14], [11, 15, 1], [2, 0, 13, 9]]
[[10, 1, 3], [7, 18, 11], [4, 8, 13], [14, 12, 16], [15, 2, 5], [9, 6, 0, 17]]
[[14, 3, 13], [15, 17, 7], [16, 5, 8], [2, 9, 4], [1, 11, 10], [18, 0, 12, 6]]
[[6, 1, 10], [7, 4, 5], [17, 15, 12], [13, 2, 14], [0, 9, 11], [3, 16, 18, 8]]
[[17, 10, 7], [12, 3, 15], [2, 16, 13], [11, 9, 18], [5, 0, 8], [6, 1, 14, 4]]
[[16, 1, 5], [9, 14, 15], [8, 12, 18], [0, 7, 4], [11, 10, 6], [17, 3, 2, 13]]
[[3, 1, 18], [11, 12, 7], [16, 8, 5], [14, 15, 17], [2, 9, 10], [4, 6, 13, 0]]
[[6, 4, 12], [8, 9, 18], [16, 10, 0], [13, 3, 1], [17, 11, 15], [5, 7, 2, 14]]
[[6, 9, 13], [5, 18, 14], [4, 0, 7], [3, 8, 16], [2, 11, 17], [15, 12, 10, 1]]
[[15, 18, 17], [12, 13, 10], [9, 3, 0], [7, 6, 11], [8, 2, 1], [14, 16, 4, 5]]
[[12, 0, 8], [10, 3, 18], [15, 17, 13], [2, 4, 16], [5, 1, 7], [14, 9, 11, 6]]
[[4, 18, 1], [3, 7, 5], [11, 16, 12], [14, 2, 13], [8, 6, 17], [0, 9, 15, 10]]
[[18, 14, 9], [6, 8, 12], [2, 7, 17], [15, 3, 1], [16, 10, 11], [4, 0, 13, 5]]
[[3, 8, 14], [9, 10, 0], [15, 2, 16], [17, 4, 18], [13, 1, 7], [6, 11, 5, 12]]
[[13, 18, 1], [15, 7, 0], [10, 9, 8], [2, 11, 4], [5, 17, 16], [6, 12, 3, 14]]
[[1, 10, 9], [2, 13, 12], [0, 16, 4], [18, 8, 6], [5, 11, 7], [14, 3, 15, 17]]
[[11, 0, 4], [14, 1, 6], [9, 12, 7], [8, 10, 2], [16, 18, 5], [3, 15, 13, 17]]
[[2, 11, 4], [12, 1, 18], [13, 5, 17], [16, 6, 3], [8, 7, 9], [0, 15, 14, 10]]
[[11, 6, 10], [16, 7, 18], [13, 9, 3], [5, 12, 17], [1, 2, 15], [14, 8, 4, 0]]
[[13, 0, 9], [17, 1, 4], [12, 7, 5], [18, 14, 16], [2, 3, 10], [11, 6, 15, 8]]
[[5, 1, 2], [17, 7, 3], [9, 8, 15], [4, 10, 6], [12, 16, 18], [13, 14, 0, 11]]
[[2, 11, 10], [5, 1, 16], [6, 0, 13], [18, 9, 17], [12, 7, 3], [15, 14, 8, 4]]
[[9, 17, 3], [18, 6, 14], [4, 10, 12], [2, 11, 5], [0, 13, 1], [8, 7, 16, 15]]
[[0, 12, 8], [3, 18, 15], [6, 9, 2], [7, 10, 11], [1, 5, 17], [4, 14, 16, 13]]
[[18, 9, 10], [17, 3, 14], [11, 0, 5], [8, 7, 6], [13, 12, 16], [1, 15, 2, 4]]
[[0, 16, 4], [2, 9, 11], [5, 6, 18], [15, 17, 14], [13, 1, 8], [7, 12, 10, 3]]
[[5, 14, 13], [6, 0, 8], [7, 10, 11], [9, 3, 1], [2, 17, 4], [18, 16, 15, 12]]
[[10, 1, 4], [8, 7, 16], [9, 6, 11], [15, 3, 13], [17, 5, 18], [0, 12, 2, 14]]
[[10, 8, 1], [12, 6, 14], [3, 4, 16], [18, 5, 0], [15, 13, 9], [11, 17, 2, 7]]
[[14, 6, 8], [9, 4, 12], [15, 13, 0], [3, 5, 1], [17, 16, 7], [10, 18, 2, 11]]
[[11, 10, 9], [2, 5, 4], [1, 18, 16], [17, 7, 13], [3, 15, 12], [8, 6, 0, 14]]
[[7, 11, 16], [12, 1, 4], [14, 13, 18], [3, 6, 17], [0, 9, 10], [8, 2, 15, 5]]
[[16, 3, 14], [2, 13, 0], [8, 9, 1], [11, 6, 10], [15, 12, 17], [7, 18, 4, 5]]
[[1, 3, 14], [8, 9, 13], [16, 10, 0], [11, 18, 2], [7, 4, 17], [5, 6, 15, 12]]
[[14, 3, 2], [9, 11, 16], [13, 0, 5], [4, 1, 6], [12, 7, 10], [8, 17, 18, 15]]
[[14, 16, 15], [7, 11, 8], [18, 10, 5], [1, 6, 4], [0, 3, 17], [13, 12, 2, 9]]
[[17, 1, 2], [3, 9, 7], [18, 8, 4], [11, 13, 15], [6, 0, 5], [16, 10, 12, 14]]
[[16, 8, 15], [6, 0, 3], [4, 1, 11], [9, 12, 18], [14, 10, 5], [2, 7, 17, 13]]
