[[13, 19, 5], [6, 0, 11], [7, 8, 3], [1, 14, 15], [10, 12, 9, 4], [18, 17, 16, 2]]
[[6, 18, 0], [1, 15, 7], [4, 14, 9], [5, 12, 19], [11, 10, 3, 13], [17, 16, 2, 8]]
[[4, 14, 16], [7, 12, 15], [17, 18, 9], [13, 6, 1], [5, 11, 0, 19], [2, 8, 3, 10]]
[[16, 10, 14], [19, 1, 7], [3, 8, 5], [12, 17, 6], [13, 18, 4, 9], [11, 2, 0, 15]]
[[4, 16, 12], [17, 3, 11], [18, 7, 8], [6, 14, 13], [15, 9, 2, 5], [19, 10, 1, 0]]
[[9, 17, 10], [3, 19, 14], [16, 13, 11], [7, 2, 5], [12, 8, 4, 15], [1, 0, 6, 18]]
[[18, 16, 17], [2, 4, 3], [13, 9, 12], [11, 19, 14], [10, 5, 8, 0], [15, 1, 6, 7]]
[[8, 9, 19], [0, 10, 15], [18, 17, 16], [11, 13, 7], [12, 2, 6, 4], [1, 5, 3, 14]]
[[19, 12, 10], [15, 8, 7], [9, 18, 16], [13, 5, 3], [11, 6, 4, 14], [0, 1, 17, 2]]
[[11, 6, 19], [18, 13, 12], [1, 17, 0], [8, 10, 16], [14, 9, 15, 3], [2, 5, 7, 4]]
[[7, 0, 9], [5, 14, 3], [1, 16, 19], [10, 13, 6], [8, 11, 18, 2], [12, 17, 15, 4]]
[[5, 9, 7], [11, 4, 16], [14, 1, 8], [18, 0, 15], [3, 6, 13, 12], [2, 19, 10, 17]]
[[8, 19, 13], [5, 2, 18], [10, 9, 3], [4, 12, 15], [17, 7, 11, 1], [6, 14, 16, 0]]
[[3, 6, 15], [16, 1, 12], [10, 18, 5], [7, 14, 8], [0, 17, 2, 9], [19, 4, 13, 11]]
[[13, 5, 9], [16, 11, 1], [4, 3, 7], [18, 14, 12], [2, 0, 10, 6], [15, 19, 17, 8]]
[[8, 2, 15], [19, 11, 18], [1, 6, 3], [0, 9, 12], [16, 5, 7, 17], [14, 13, 10, 4]]
[[5, 6, 0], [11, 8, 19], [7, 16, 15], [1, 18, 17], [10, 3, 14, 4], [2, 12, 13, 9]]
[[18, 6, 11], [17, 10, 15], [8, 7, 4], [0, 1, 16], [2, 3, 9, 14], [12, 19, 5, 13]]
[[19, 2, 4], [10, 15, 12], [18, 14, 3], [13, 16, 0], [5, 8, 17, 6], [7, 1, 11, 9]]
[[18, 1, 6], [5, 11, 8], [7, 15, 13], [17, 9, 10], [0, 3, 12, 4], [19, 16, 14, 2]]
[[17, 10, 14], [19, 1, 4], [11, 0, 6], [12, 3, 18], [16, 5, 15, 7], [9, 13, 8, 2]]
[[5, 3, 1], [13, 16, 6], [14, 15, 8], [2, 4, 12], [9, 10, 11, 18], [19, 7, 0, 17]]
[[7, 13, 9], [6, 16, 0], [1, 2, 4], [10, 3, 19], [15, 5, 12, 17], [11, 8, 18, 14]]
[[14, 9, 13], [3, 0, 15], [7, 10, 6], [19, 12, 11], [5, 1, 8, 16], [17, 2, 18, 4]]
[[10, 18, 11], [1, 2, 0], [3, 5, 16], [19, 14, 13], [12, 15, 9, 17], [6, 4, 8, 7]]
[[12, 8, 13], [9, 15, 17], [6, 19, 5], [3, 2, 10], [14, 18, 7, 16], [11, 1, 0, 4]]
[[0, 6, 18], [2, 17, 3], [13, 8, 16], [7, 12, 15], [5, 4, 11, 1], [10, 14, 19, 9]]
[[8, 14, 5], [2, 6, 3], [0, 7, 12], [17, 1, 4], [15, 18, 10, 19], [13, 9, 16, 11]]
[[0, 8, 10], [19, 16, 13], [9, 6, 15], [4, 11, 3], [14, 17, 7, 18], [5, 2, 1, 12]]
[[13, 6, 12], [10, 15, 16], [17, 14, 7], [9, 18, 11], [3, 8, 1, 5], [19, 0, 4, 2]]
[[0, 7, 19], [14, 5, 13], [1, 16, 10], [8, 11, 6], [12, 18, 17, 9], [15, 2, 3, 4]]
[[16, 1, 9], [6, 10, 0], [11, 13, 17], [5, 15, 19], [3, 7, 12, 2], [14, 4, 8, 18]]
[[10, 15, 12], [3, 14, 6], [0, 4, 19], [5, 2, 7], [17, 9, 1, 18], [13, 16, 11, 8]]
[[8, 19, 6], [18, 7, 16], [3, 4, 12], [15, 9, 13], [2, 10, 1, 11], [17, 14, 5, 0]]
[[7, 19, 14], [4, 12, 2], [11, 16, 6], [0, 10, 1], [15, 8, 18, 17], [13, 9, 5, 3]]
[[17, 6, 5], [11, 18, 1], [16, 14, 9], [3, 8, 13], [10, 0, 7, 15], [19, 2, 4, 12]]
[[16, 19, 15], [4, 1, 9], [10, 2, 6], [11, 14, 0], [17, 13, 18, 12], [8, 5, 3, 7]]
[[1, 17, 13], [11, 8, 5], [3, 9, 12], [4, 18, 7], [15, 0, 6, 16], [14, 10, 19, 2]]
[[13, 15, 7], [1, 10, 5], [0, 9, 14], [11, 17, 16], [6, 12, 4, 18], [3, 8, 19, 2]]
[[0, 13, 10], [7, 16, 11], [18, 15, 14], [12, 1, 8], [3, 9, 6, 4], [5, 2, 19, 17]]
[[11, 8, 0], [16, 3, 4], [9, 10, 6], [12, 14, 7], [17, 18, 5, 19], [13, 15, 1, 2]]
[[8, 15, 4], [14, 3, 10], [6, 1, 16], [13, 11, 7], [2, 12, 18, 17], [9, 5, 0, 19]]
[[10, 14, 9], [11, 5, 2], [19, 6, 18], [17, 7, 3], [0, 16, 13, 15], [4, 8, 12, 1]]
[[12, 19, 11], [6, 18, 13], [7, 1, 17], [4, 2, 14], [0, 5, 15, 8], [9, 16, 3, 10]]
[[8, 4, 12], [13, 6, 7], [19, 15, 0], [10, 11, 18], [1, 17, 2, 16], [3, 14, 5, 9]]
[[0, 17, 13], [5, 15, 2], [12, 16, 14], [18, 3, 7], [8, 10, 11, 1], [9, 19, 4, 6]]
[[14, 19, 18], [10, 4, 2], [16, 9, 13], [11, 0, 7], [12, 8, 15, 5], [17, 3, 1, 6]]
[[15, 4, 11], [7, 9, 18], [12, 14, 6], [13, 19, 1], [16, 0, 10, 3], [2, 8, 5, 17]]
[[0, 9, 12], [7, 18, 14], [4, 1, 2], [3, 6, 17], [5, 8, 13, 10], [15, 11, 19, 16]]
