[[5, 1, 9], [3, 13, 7], [19, 14, 6], [11, 15, 0], [20, 8, 16], [12, 10, 17], [18, 4, 2]]
[[2, 10, 15], [7, 9, 19], [18, 4, 3], [8, 14, 5], [11, 20, 0], [16, 17, 1], [6, 12, 13]]
[[16, 3, 15], [20, 13, 1], [4, 6, 10], [9, 11, 2], [17, 8, 14], [0, 19, 18], [12, 5, 7]]
[[7, 10, 14], [0, 3, 1], [5, 17, 8], [4, 2, 16], [19, 20, 15], [12, 18, 11], [6, 9, 13]]
[[13, 7, 1], [15, 18, 9], [19, 6, 2], [20, 8, 14], [12, 4, 5], [16, 11, 17], [3, 0, 10]]
[[8, 12, 14], [0, 19, 4], [13, 5, 9], [15, 10, 18], [2, 11, 1], [3, 16, 6], [17, 7, 20]]
[[6, 8, 11], [17, 16, 7], [13, 19, 20], [4, 9, 10], [2, 1, 5], [12, 0, 15], [14, 3, 18]]
[[6, 19, 3], [7, 16, 20], [8, 0, 10], [18, 1, 2], [13, 5, 15], [4, 11, 9], [12, 17, 14]]
[[10, 1, 17], [13, 2, 0], [16, 14, 19], [7, 11, 5], [9, 18, 8], [4, 6, 15], [12, 20, 3]]
[[15, 20, 19], [13, 4, 0], [16, 12, 17], [3, 11, 2], [8, 10, 9], [7, 5, 6], [18, 14, 1]]
[[18, 3, 10], [11, 16, 5], [1, 13, 0], [4, 2, 7], [6, 15, 8], [17, 19, 14], [12, 9, 20]]
[[18, 3, 20], [9, 5, 19], [10, 14, 13], [8, 0, 6], [1, 12, 16], [7, 15, 2], [11, 17, 4]]
[[11, 9, 8], [15, 5, 4], [6, 0, 2], [17, 12, 20], [3, 14, 18], [10, 13, 16], [1, 7, 19]]
[[5, 17, 7], [1, 19, 9], [20, 12, 3], [10, 6, 14], [11, 18, 2], [4, 15, 8], [16, 0, 13]]
[[7, 16, 2], [14, 6, 19], [9, 1, 17], [5, 0, 12], [3, 10, 13], [11, 20, 18], [4, 15, 8]]
[[4, 7, 11], [8, 1, 12], [3, 9, 5], [13, 10, 2], [20, 17, 18], [19, 15, 16], [14, 6, 0]]
[[0, 19, 7], [17, 9, 2], [1, 16, 5], [11, 4, 13], [10, 8, 18], [20, 15, 6], [12, 3, 14]]
[[15, 7, 14], [18, 3, 13], [4, 20, 5], [10, 1, 17], [16, 12, 9], [19, 8, 0], [6, 2, 11]]
[[9, 16, 12], [14, 19, 7], [6, 8, 2], [15, 4, 0], [10, 1, 11], [20, 17, 13], [3, 5, 18]]
[[0, 17, 4], [3, 9, 11], [16, 18, 1], [5, 2, 7], [12, 15, 8], [19, 6, 20], [10, 14, 13]]
[[18, 11, 1], [12, 16, 19], [8, 3, 7], [20, 0, 10], [5, 2, 13], [4, 14, 6], [17, 9, 15]]
[[2, 13, 5], [8, 4, 20], [18, 14, 1], [17, 19, 0], [15, 3, 11], [9, 12, 6], [10, 7, 16]]
[[20, 5, 0], [10, 14, 18], [16, 19, 9], [2, 8, 1], [13, 15, 4], [6, 11, 12], [17, 3, 7]]
[[12, 15, 7], [18, 17, 6], [5, 1, 16], [11, 9, 14], [10, 8, 0], [4, 3, 19], [13, 2, 20]]
[[11, 10, 14], [8, 17, 6], [1, 20, 4], [16, 0, 13], [5, 15, 9], [19, 3, 18], [2, 7, 12]]
