[[2, 19, 18], [1, 3, 21], [13, 11, 17], [20, 5, 8], [4, 12, 6], [14, 10, 9], [0, 15, 16, 7]]
[[18, 21, 6], [0, 14, 1], [20, 16, 12], [13, 4, 8], [5, 10, 7], [3, 15, 17], [2, 19, 9, 11]]
[[15, 8, 5], [17, 4, 14], [1, 13, 11], [19, 12, 7], [20, 10, 6], [9, 0, 18], [3, 16, 2, 21]]
[[0, 7, 1], [21, 16, 5], [19, 3, 14], [17, 12, 4], [6, 13, 10], [20, 11, 18], [8, 15, 9, 2]]
[[13, 9, 20], [21, 14, 16], [6, 15, 5], [17, 0, 10], [2, 7, 4], [19, 1, 8], [3, 18, 12, 11]]
[[6, 7, 13], [16, 3, 5], [19, 17, 2], [9, 21, 12], [0, 8, 1], [18, 20, 11], [14, 4, 15, 10]]
[[18, 21, 19], [15, 13, 7], [12, 17, 1], [10, 9, 5], [6, 4, 2], [14, 3, 11], [0, 8, 16, 20]]
[[17, 11, 13], [10, 7, 9], [14, 6, 8], [5, 15, 21], [3, 1, 2], [12, 4, 19], [20, 16, 0, 18]]
[[21, 12, 7], [14, 5, 1], [19, 6, 20], [13, 15, 10], [4, 0, 17], [11, 3, 16], [2, 18, 8, 9]]
[[12, 8, 18], [15, 11, 10], [3, 20, 13], [2, 7, 1], [9, 4, 14], [6, 21, 19], [0, 5, 16, 17]]
[[12, 14, 8], [0, 10, 7], [4, 17, 21], [13, 3, 9], [15, 11, 19], [2, 18, 20], [1, 16, 5, 6]]
[[5, 4, 10], [17, 18, 9], [3, 7, 8], [16, 20, 6], [13, 2, 15], [11, 14, 0], [21, 12, 19, 1]]
[[0, 8, 20], [10, 6, 14], [15, 3, 11], [16, 9, 1], [18, 7, 17], [13, 2, 19], [4, 12, 21, 5]]
[[10, 8, 17], [15, 20, 2], [11, 14, 5], [7, 13, 4], [21, 19, 9], [0, 16, 6], [3, 12, 18, 1]]
[[8, 15, 4], [12, 18, 19], [21, 11, 10], [20, 9, 1], [5, 2, 3], [7, 17, 6], [16, 0, 14, 13]]
[[6, 14, 12], [17, 5, 13], [2, 19, 10], [20, 4, 0], [21, 11, 18], [9, 3, 8], [16, 1, 15, 7]]
[[13, 16, 4], [11, 2, 1], [6, 21, 20], [12, 14, 7], [17, 8, 10], [9, 15, 3], [19, 0, 18, 5]]
[[3, 12, 6], [13, 15, 19], [16, 5, 10], [4, 21, 20], [9, 7, 2], [14, 11, 0], [17, 18, 8, 1]]
[[2, 10, 9], [20, 14, 15], [3, 11, 0], [19, 8, 18], [4, 6, 12], [16, 21, 13], [7, 5, 17, 1]]
[[3, 5, 16], [11, 14, 0], [9, 6, 12], [2, 20, 15], [17, 21, 8], [10, 19, 7], [1, 18, 4, 13]]
[[17, 13, 2], [11, 4, 3], [21, 19, 12], [6, 7, 1], [0, 14, 5], [16, 10, 20], [8, 15, 18, 9]]
[[16, 6, 12], [0, 11, 2], [18, 5, 17], [1, 7, 13], [8, 4, 20], [3, 14, 21], [19, 15, 10, 9]]
[[5, 19, 14], [21, 1, 18], [20, 11, 4], [10, 13, 7], [3, 17, 0], [15, 8, 2], [12, 16, 9, 6]]
[[15, 14, 5], [10, 18, 16], [20, 12, 17], [0, 21, 19], [7, 11, 6], [1, 4, 13], [2, 9, 8, 3]]
[[20, 10, 0], [11, 5, 9], [6, 15, 12], [18, 8, 4], [1, 2, 3], [16, 19, 14], [21, 7, 17, 13]]
[[0, 20, 17], [8, 7, 21], [2, 1, 19], [10, 16, 5], [3, 11, 13], [4, 6, 18], [9, 14, 12, 15]]
[[21, 15, 14], [9, 6, 5], [12, 7, 11], [18, 17, 10], [0, 3, 8], [4, 1, 20], [2, 13, 16, 19]]
[[4, 18, 5], [9, 10, 17], [12, 1, 6], [13, 7, 0], [19, 2, 14], [15, 3, 8], [21, 16, 11, 20]]
[[2, 13, 9], [18, 3, 21], [4, 10, 16], [1, 12, 7], [8, 14, 19], [20, 17, 11], [5, 6, 15, 0]]
[[13, 19, 20], [16, 10, 14], [1, 11, 18], [12, 7, 5], [3, 0, 15], [4, 9, 17], [6, 21, 8, 2]]
