[[8, 22, 19], [12, 0, 16], [20, 11, 2], [17, 6, 13], [1, 4, 18], [10, 15, 14, 7], [21, 9, 3, 5]]
[[8, 7, 5], [16, 3, 18], [20, 0, 10], [22, 15, 17], [9, 2, 21], [12, 11, 1, 13], [4, 6, 19, 14]]
[[21, 15, 12], [3, 17, 10], [20, 11, 18], [4, 7, 6], [2, 8, 19], [22, 0, 16, 9], [5, 13, 1, 14]]
[[0, 3, 7], [17, 21, 2], [15, 10, 20], [12, 22, 8], [18, 16, 19], [13, 9, 14, 6], [11, 1, 5, 4]]
[[15, 22, 6], [4, 18, 5], [9, 2, 0], [20, 16, 1], [8, 14, 7], [13, 17, 3, 10], [21, 11, 19, 12]]
[[22, 1, 3], [15, 14, 19], [16, 11, 21], [13, 8, 6], [18, 4, 9], [2, 7, 17, 12], [10, 0, 20, 5]]
[[8, 22, 2], [1, 12, 14], [16, 21, 5], [17, 7, 20], [13, 11, 6], [15, 10, 0, 9], [4, 19, 18, 3]]
[[20, 15, 18], [17, 11, 1], [22, 3, 19], [8, 0, 2], [12, 21, 4], [13, 14, 9, 7], [5, 16, 6, 10]]
[[19, 2, 0], [13, 1, 8], [22, 20, 18], [14, 12, 10], [4, 5, 21], [11, 16, 6, 17], [7, 3, 15, 9]]
[[0, 18, 13], [15, 14, 3], [4, 5, 2], [22, 16, 17], [9, 10, 8], [21, 1, 20, 6], [11, 7, 19, 12]]
[[4, 7, 21], [22, 8, 9], [15, 12, 0], [3, 18, 2], [10, 19, 1], [17, 5, 16, 13], [6, 11, 14, 20]]
[[4, 7, 8], [17, 12, 1], [21, 16, 22], [3, 2, 9], [6, 10, 15], [20, 0, 18, 14], [11, 5, 19, 13]]
[[1, 5, 3], [15, 17, 20], [9, 14, 11], [7, 10, 22], [18, 13, 0], [4, 16, 2, 8], [6, 19, 12, 21]]
[[21, 6, 5], [15, 11, 12], [3, 0, 2], [9, 7, 22], [16, 20, 18], [13, 19, 1, 4], [14, 8, 10, 17]]
[[13, 3, 19], [16, 9, 10], [22, 12, 21], [5, 1, 8], [20, 4, 11], [17, 18, 6, 0], [7, 14, 2, 15]]
[[1, 20, 13], [21, 2, 8], [16, 9, 19], [11, 4, 12], [6, 0, 5], [22, 17, 10, 7], [18, 3, 15, 14]]
