[[15, 20, 10], [5, 16, 8], [1, 17, 7], [21, 14, 2], [12, 11, 22], [13, 3, 23], [18, 19, 4], [9, 0, 6]]
[[16, 1, 14], [13, 11, 8], [3, 6, 7], [22, 20, 19], [10, 21, 23], [0, 5, 12], [2, 15, 9], [17, 4, 18]]
[[19, 11, 2], [9, 10, 6], [3, 8, 21], [14, 15, 7], [13, 1, 16], [4, 5, 23], [22, 20, 18], [12, 17, 0]]
[[18, 13, 19], [4, 20, 5], [14, 8, 1], [11, 7, 9], [21, 17, 3], [23, 16, 2], [10, 22, 0], [6, 12, 15]]
[[5, 16, 23], [7, 13, 11], [22, 4, 17], [18, 15, 21], [9, 14, 6], [2, 8, 20], [1, 12, 19], [10, 0, 3]]
[[15, 22, 8], [3, 7, 16], [23, 14, 11], [10, 0, 1], [20, 2, 17], [6, 12, 4], [9, 5, 19], [18, 13, 21]]
[[2, 21, 22], [20, 23, 6], [7, 4, 1], [16, 11, 18], [5, 9, 3], [10, 8, 15], [17, 14, 19], [0, 12, 13]]
[[19, 23, 10], [22, 16, 8], [20, 11, 13], [15, 9, 21], [17, 7, 4], [18, 0, 12], [1, 5, 3], [6, 14, 2]]
[[13, 1, 0], [11, 23, 2], [3, 6, 14], [20, 16, 12], [8, 10, 7], [22, 21, 15], [9, 17, 4], [5, 19, 18]]
[[16, 2, 13], [20, 7, 21], [14, 3, 0], [1, 23, 10], [8, 9, 4], [22, 11, 6], [19, 18, 5], [17, 12, 15]]
[[14, 5, 7], [4, 9, 10], [16, 19, 21], [12, 1, 2], [11, 13, 6], [18, 15, 8], [20, 22, 0], [23, 17, 3]]
[[11, 18, 3], [12, 16, 23], [4, 10, 2], [13, 8, 20], [9, 0, 1], [22, 17, 15], [14, 6, 21], [19, 7, 5]]
[[18, 15, 8], [20, 19, 10], [1, 0, 2], [14, 11, 17], [9, 6, 23], [5, 4, 21], [13, 22, 7], [12, 3, 16]]
[[0, 15, 12], [6, 7, 3], [16, 22, 20], [4, 2, 21], [1, 17, 9], [14, 13, 10], [11, 23, 8], [19, 5, 18]]
