[[3, 21, 5], [10, 4, 9], [6, 0, 8], [22, 1, 19], [7, 13, 14], [11, 18, 20], [24, 23, 12], [16, 17, 15, 2]]
[[11, 24, 7], [10, 5, 12], [9, 8, 15], [20, 6, 21], [19, 18, 13], [16, 1, 3], [4, 23, 14], [0, 17, 2, 22]]
[[4, 1, 17], [15, 9, 11], [22, 24, 13], [19, 6, 21], [0, 8, 12], [3, 14, 2], [20, 10, 23], [5, 18, 7, 16]]
[[1, 5, 6], [10, 11, 2], [22, 7, 23], [8, 0, 3], [9, 16, 19], [24, 12, 20], [15, 21, 14], [17, 13, 4, 18]]
[[8, 5, 4], [24, 23, 17], [11, 18, 3], [1, 0, 6], [14, 15, 10], [2, 9, 22], [13, 19, 20], [12, 7, 16, 21]]
[[6, 24, 2], [0, 13, 11], [12, 1, 20], [10, 15, 4], [23, 16, 17], [14, 3, 5], [7, 22, 18], [21, 9, 8, 19]]
[[6, 20, 3], [17, 14, 10], [7, 21, 4], [2, 18, 9], [16, 13, 24], [0, 1, 23], [12, 19, 15], [11, 8, 22, 5]]
[[22, 15, 20], [16, 23, 8], [9, 13, 4], [19, 2, 6], [7, 5, 12], [24, 17, 14], [10, 11, 0], [1, 3, 21, 18]]
[[19, 18, 1], [9, 15, 6], [23, 2, 3], [17, 14, 20], [12, 5, 7], [11, 16, 13], [8, 24, 22], [4, 0, 21, 10]]
[[18, 23, 14], [15, 7, 4], [10, 20, 21], [13, 9, 1], [17, 22, 5], [2, 8, 24], [6, 11, 19], [3, 0, 12, 16]]
[[14, 1, 22], [19, 23, 12], [9, 4, 6], [24, 11, 3], [0, 8, 13], [16, 21, 2], [7, 20, 15], [10, 17, 5, 18]]
[[14, 11, 18], [12, 2, 1], [8, 24, 6], [5, 23, 9], [10, 7, 0], [20, 4, 22], [15, 19, 3], [17, 21, 16, 13]]
[[8, 11, 9], [19, 23, 0], [2, 4, 13], [21, 3, 10], [5, 17, 16], [15, 24, 7], [20, 22, 14], [1, 18, 6, 12]]
[[4, 3, 10], [11, 0, 5], [13, 2, 14], [8, 15, 12], [16, 1, 7], [20, 22, 17], [18, 21, 9], [6, 24, 23, 19]]
[[12, 23, 10], [19, 21, 8], [13, 3, 14], [18, 15, 5], [16, 20, 4], [11, 7, 6], [1, 0, 17], [2, 22, 24, 9]]
[[7, 0, 3], [16, 1, 10], [23, 15, 21], [9, 2, 6], [11, 13, 20], [17, 12, 22], [18, 24, 8], [19, 14, 4, 5]]
[[24, 11, 4], [2, 14, 17], [20, 7, 9], [22, 13, 12], [6, 0, 10], [23, 18, 1], [3, 19, 16], [15, 8, 21, 5]]
[[5, 10, 16], [23, 14, 3], [8, 22, 9], [20, 2, 4], [19, 24, 0], [6, 21, 13], [11, 17, 7], [18, 1, 15, 12]]
[[24, 22, 8], [0, 7, 16], [4, 18, 11], [14, 15, 3], [12, 17, 23], [13, 6, 9], [10, 19, 1], [2, 20, 5, 21]]
[[4, 24, 11], [17, 12, 0], [10, 5, 19], [23, 13, 2], [7, 6, 22], [1, 21, 16], [14, 18, 3], [20, 15, 9, 8]]
[[5, 4, 10], [11, 13, 0], [22, 8, 6], [15, 12, 7], [20, 17, 1], [16, 24, 19], [3, 14, 18], [2, 9, 21, 23]]
[[1, 16, 12], [21, 4, 9], [2, 0, 24], [14, 23, 7], [11, 20, 15], [8, 10, 5], [19, 6, 3], [13, 18, 22, 17]]
[[11, 15, 9], [8, 0, 4], [2, 14, 24], [13, 17, 6], [20, 21, 22], [10, 18, 12], [1, 5, 23], [7, 16, 19, 3]]
[[8, 18, 4], [12, 16, 3], [17, 10, 9], [13, 20, 6], [15, 22, 14], [0, 7, 1], [23, 5, 19], [21, 24, 11, 2]]
[[15, 21, 7], [10, 18, 22], [20, 16, 4], [12, 17, 23], [9, 1, 11], [6, 3, 14], [24, 19, 2], [0, 5, 8, 13]]
[[21, 4, 2], [1, 15, 9], [8, 12, 24], [6, 11, 3], [22, 13, 20], [10, 19, 0], [17, 14, 7], [23, 16, 5, 18]]
[[3, 23, 19], [12, 7, 2], [14, 13, 24], [5, 18, 9], [8, 4, 10], [16, 21, 11], [6, 22, 15], [1, 0, 20, 17]]
[[11, 19, 18], [24, 10, 13], [7, 0, 9], [6, 23, 14], [3, 2, 8], [12, 17, 22], [16, 21, 4], [20, 1, 15, 5]]
[[1, 24, 10], [12, 15, 3], [2, 13, 19], [21, 14, 16], [9, 11, 4], [6, 5, 0], [7, 8, 17], [23, 22, 18, 20]]
[[14, 21, 13], [23, 19, 15], [20, 8, 18], [6, 0, 17], [24, 12, 4], [10, 9, 16], [5, 2, 3], [1, 7, 11, 22]]
