[[24, 25, 2], [14, 23, 0], [4, 3, 15], [8, 5, 19], [13, 17, 10], [6, 16, 21], [11, 9, 20, 7], [22, 12, 1, 18]]
[[8, 6, 15], [10, 2, 3], [21, 1, 20], [4, 19, 24], [11, 16, 12], [18, 14, 23], [5, 0, 9, 7], [22, 17, 13, 25]]
[[23, 21, 0], [15, 8, 18], [17, 20, 22], [7, 3, 1], [25, 24, 11], [4, 14, 13], [12, 9, 10, 19], [6, 16, 5, 2]]
[[24, 12, 16], [6, 10, 15], [11, 21, 20], [1, 13, 7], [25, 18, 9], [17, 3, 14], [4, 5, 19, 22], [2, 0, 23, 8]]
[[21, 1, 3], [15, 7, 9], [20, 2, 17], [10, 5, 23], [12, 16, 8], [11, 22, 24], [6, 19, 13, 18], [4, 14, 25, 0]]
[[10, 7, 8], [19, 21, 3], [12, 0, 1], [17, 23, 14], [16, 13, 18], [25, 24, 9], [6, 4, 5, 20], [15, 2, 11, 22]]
[[23, 6, 18], [10, 12, 1], [17, 0, 13], [24, 11, 19], [2, 20, 16], [21, 14, 3], [15, 7, 9, 25], [8, 5, 4, 22]]
[[4, 8, 22], [21, 5, 25], [14, 18, 13], [11, 2, 19], [1, 9, 6], [12, 20, 0], [24, 15, 3, 23], [10, 17, 7, 16]]
[[21, 20, 14], [23, 22, 5], [9, 16, 11], [24, 6, 18], [2, 17, 19], [3, 8, 7], [10, 15, 1, 25], [4, 13, 0, 12]]
[[1, 5, 2], [16, 8, 7], [9, 0, 15], [4, 14, 10], [13, 3, 22], [20, 19, 18], [11, 6, 12, 25], [23, 21, 24, 17]]
[[12, 2, 0], [22, 1, 8], [6, 15, 10], [24, 5, 4], [19, 7, 23], [25, 18, 3], [21, 13, 16, 20], [17, 11, 14, 9]]
[[15, 4, 10], [12, 23, 7], [8, 16, 2], [9, 19, 25], [1, 5, 18], [24, 11, 13], [17, 3, 21, 6], [20, 14, 0, 22]]
[[1, 25, 7], [15, 18, 20], [6, 8, 24], [23, 2, 4], [10, 9, 5], [11, 16, 0], [13, 21, 12, 14], [17, 3, 22, 19]]
[[21, 5, 20], [10, 2, 1], [14, 13, 17], [12, 7, 6], [11, 16, 18], [8, 9, 23], [3, 0, 22, 25], [15, 24, 19, 4]]
[[10, 19, 2], [21, 16, 6], [7, 24, 25], [1, 11, 15], [20, 9, 12], [5, 18, 4], [8, 22, 14, 23], [13, 3, 0, 17]]
[[11, 8, 20], [5, 24, 23], [0, 19, 9], [15, 16, 10], [18, 14, 21], [2, 12, 22], [4, 13, 3, 7], [17, 6, 25, 1]]
[[22, 16, 20], [7, 6, 19], [24, 11, 0], [1, 8, 4], [9, 15, 23], [10, 17, 5], [13, 3, 25, 14], [2, 12, 21, 18]]
[[23, 13, 10], [2, 5, 25], [21, 15, 22], [17, 4, 0], [16, 18, 14], [9, 20, 3], [7, 19, 24, 11], [6, 12, 8, 1]]
[[12, 23, 14], [11, 7, 15], [22, 4, 8], [24, 17, 0], [20, 19, 18], [6, 5, 2], [21, 16, 3, 10], [9, 1, 13, 25]]
[[12, 17, 11], [5, 19, 14], [25, 3, 7], [0, 15, 2], [16, 22, 4], [20, 24, 18], [10, 21, 8, 13], [9, 6, 1, 23]]
