[[8, 19, 3], [2, 6, 17], [10, 1, 5], [4, 15, 25], [16, 11, 18], [9, 0, 22], [21, 14, 24], [12, 20, 23], [26, 13, 7]]
[[10, 2, 18], [6, 7, 17], [21, 3, 5], [24, 26, 1], [23, 4, 13], [19, 9, 20], [14, 11, 16], [0, 22, 12], [8, 25, 15]]
[[22, 26, 16], [18, 19, 21], [5, 17, 2], [10, 6, 11], [0, 1, 24], [23, 12, 4], [3, 25, 8], [14, 9, 15], [20, 13, 7]]
[[22, 0, 5], [12, 4, 13], [18, 14, 3], [24, 9, 6], [2, 19, 23], [20, 17, 8], [10, 15, 7], [11, 16, 25], [1, 26, 21]]
[[6, 11, 4], [26, 5, 14], [13, 2, 25], [16, 21, 10], [3, 8, 19], [23, 24, 9], [22, 1, 12], [7, 15, 20], [17, 0, 18]]
[[21, 4, 3], [14, 18, 13], [20, 11, 0], [16, 19, 5], [12, 24, 10], [2, 7, 25], [1, 8, 22], [15, 9, 26], [6, 17, 23]]
[[26, 22, 1], [23, 16, 2], [4, 8, 6], [0, 20, 25], [13, 9, 17], [10, 18, 3], [19, 12, 5], [21, 7, 14], [11, 24, 15]]
[[16, 13, 7], [4, 23, 5], [8, 14, 3], [10, 1, 24], [22, 25, 6], [19, 26, 9], [18, 15, 12], [17, 20, 11], [21, 0, 2]]
[[14, 26, 22], [24, 16, 9], [18, 1, 15], [7, 21, 8], [0, 3, 5], [13, 4, 17], [11, 25, 2], [20, 10, 12], [23, 19, 6]]
[[20, 15, 2], [16, 14, 7], [22, 13, 23], [10, 25, 0], [11, 6, 26], [8, 5, 3], [24, 21, 4], [12, 1, 18], [19, 17, 9]]
[[3, 20, 12], [23, 26, 13], [16, 22, 25], [19, 17, 21], [1, 2, 15], [9, 6, 18], [4, 11, 5], [24, 14, 8], [0, 10, 7]]
[[21, 19, 26], [11, 17, 7], [23, 10, 3], [25, 20, 18], [15, 9, 12], [16, 13, 22], [6, 5, 14], [4, 0, 1], [24, 2, 8]]
[[16, 2, 25], [15, 12, 8], [19, 18, 26], [14, 0, 21], [7, 20, 10], [3, 5, 1], [17, 24, 22], [9, 4, 6], [13, 11, 23]]
[[12, 3, 10], [23, 25, 26], [17, 15, 4], [1, 0, 20], [8, 5, 14], [2, 13, 22], [16, 21, 19], [6, 18, 9], [7, 11, 24]]
[[23, 4, 22], [0, 20, 16], [7, 6, 24], [26, 10, 18], [5, 1, 19], [21, 25, 13], [17, 11, 9], [12, 8, 15], [2, 14, 3]]
[[15, 13, 17], [3, 25, 6], [2, 21, 18], [1, 14, 7], [12, 19, 26], [16, 20, 22], [9, 8, 24], [11, 0, 5], [23, 4, 10]]
[[20, 9, 14], [1, 6, 22], [16, 10, 5], [12, 17, 7], [15, 13, 2], [4, 18, 26], [23, 8, 3], [21, 25, 19], [11, 0, 24]]
[[8, 9, 10], [15, 22, 5], [4, 20, 3], [19, 16, 14], [23, 25, 26], [24, 6, 7], [12, 0, 18], [11, 21, 13], [17, 1, 2]]
[[5, 25, 12], [18, 10, 21], [22, 2, 17], [19, 20, 23], [24, 13, 6], [15, 14, 1], [9, 4, 16], [11, 0, 26], [8, 3, 7]]
[[23, 9, 7], [20, 4, 24], [2, 13, 6], [15, 3, 25], [19, 22, 11], [5, 10, 17], [26, 8, 18], [0, 1, 12], [21, 16, 14]]
[[6, 15, 14], [13, 4, 19], [21, 1, 9], [3, 7, 11], [12, 5, 22], [0, 2, 18], [23, 25, 20], [17, 8, 16], [24, 26, 10]]
[[23, 12, 17], [4, 19, 2], [16, 10, 15], [6, 9, 7], [13, 26, 14], [3, 21, 22], [5, 18, 8], [0, 25, 24], [1, 20, 11]]
[[7, 14, 25], [16, 10, 17], [5, 11, 23], [21, 1, 3], [12, 8, 24], [19, 22, 13], [26, 18, 2], [6, 15, 4], [0, 20, 9]]
[[7, 6, 9], [24, 5, 26], [8, 18, 1], [3, 15, 22], [2, 16, 20], [4, 14, 21], [13, 0, 17], [19, 25, 12], [23, 10, 11]]
[[9, 23, 20], [21, 25, 17], [14, 6, 2], [7, 26, 11], [16, 22, 15], [24, 12, 8], [1, 0, 10], [18, 4, 5], [3, 13, 19]]
[[1, 22, 21], [2, 7, 17], [8, 23, 5], [18, 9, 4], [12, 16, 25], [19, 0, 15], [3, 13, 6], [10, 26, 14], [11, 24, 20]]
[[25, 9, 26], [19, 0, 1], [23, 8, 24], [14, 7, 11], [21, 3, 5], [15, 18, 16], [13, 20, 10], [6, 4, 17], [2, 22, 12]]
[[8, 11, 16], [22, 13, 23], [20, 10, 25], [21, 2, 6], [4, 1, 15], [5, 24, 9], [3, 26, 14], [17, 19, 18], [7, 0, 12]]
[[15, 22, 1], [0, 16, 2], [20, 25, 23], [10, 8, 6], [9, 11, 14], [3, 7, 21], [17, 26, 4], [18, 19, 13], [5, 12, 24]]
[[0, 2, 8], [1, 13, 9], [22, 21, 5], [3, 20, 10], [19, 12, 7], [18, 25, 17], [6, 16, 23], [24, 4, 15], [14, 11, 26]]
[[16, 18, 1], [25, 5, 22], [21, 26, 19], [24, 8, 14], [15, 10, 12], [0, 7, 13], [6, 3, 2], [9, 11, 4], [17, 23, 20]]
[[24, 10, 17], [20, 3, 11], [5, 23, 2], [0, 26, 9], [19, 4, 12], [7, 1, 16], [8, 22, 15], [21, 6, 13], [25, 14, 18]]
[[15, 4, 20], [1, 5, 11], [13, 10, 2], [6, 9, 8], [7, 22, 3], [21, 14, 25], [17, 19, 26], [0, 23, 12], [16, 24, 18]]
[[18, 1, 22], [26, 2, 0], [11, 24, 13], [15, 3, 7], [14, 12, 6], [9, 17, 23], [20, 16, 10], [4, 19, 21], [8, 25, 5]]
[[25, 14, 23], [6, 0, 12], [9, 26, 1], [11, 10, 5], [22, 20, 3], [7, 13, 18], [15, 2, 4], [17, 24, 8], [21, 19, 16]]
[[10, 14, 6], [20, 21, 22], [13, 18, 7], [25, 9, 23], [4, 24, 8], [16, 26, 12], [15, 0, 5], [11, 1, 17], [2, 3, 19]]
[[6, 21, 14], [13, 20, 4], [1, 25, 23], [5, 24, 18], [7, 3, 12], [19, 8, 2], [0, 10, 15], [17, 11, 9], [16, 22, 26]]
[[7, 26, 10], [6, 8, 24], [1, 18, 13], [4, 3, 2], [25, 19, 23], [16, 20, 0], [17, 12, 21], [5, 14, 11], [15, 9, 22]]
[[10, 21, 15], [5, 0, 11], [6, 26, 20], [7, 17, 18], [3, 16, 1], [23, 19, 2], [22, 12, 9], [13, 14, 25], [24, 8, 4]]
[[13, 22, 24], [8, 12, 17], [19, 15, 26], [4, 20, 25], [0, 11, 1], [14, 21, 6], [10, 3, 2], [5, 9, 7], [18, 16, 23]]
[[10, 11, 13], [18, 20, 5], [7, 21, 9], [0, 23, 24], [4, 16, 15], [8, 17, 6], [12, 19, 1], [26, 3, 14], [22, 2, 25]]
[[14, 5, 0], [10, 9, 18], [4, 17, 23], [21, 7, 12], [15, 6, 8], [2, 26, 11], [22, 3, 24], [20, 16, 1], [13, 25, 19]]
[[17, 1, 22], [7, 12, 15], [20, 23, 6], [19, 9, 24], [21, 25, 3], [16, 2, 18], [4, 11, 8], [5, 26, 13], [10, 0, 14]]
[[19, 16, 4], [18, 24, 7], [21, 10, 5], [15, 25, 17], [0, 6, 1], [26, 2, 11], [14, 20, 13], [23, 8, 3], [22, 9, 12]]
[[14, 1, 15], [13, 20, 5], [19, 22, 8], [23, 12, 25], [9, 21, 26], [11, 3, 7], [2, 10, 6], [16, 18, 4], [17, 24, 0]]
[[22, 23, 19], [17, 8, 14], [1, 12, 24], [15, 9, 26], [5, 13, 25], [18, 21, 3], [0, 6, 20], [10, 7, 16], [4, 11, 2]]
[[20, 17, 1], [6, 22, 7], [21, 15, 5], [19, 13, 11], [9, 4, 18], [26, 23, 14], [3, 2, 12], [16, 0, 8], [24, 25, 10]]
[[7, 25, 19], [18, 17, 10], [24, 11, 22], [13, 2, 15], [12, 26, 20], [23, 6, 3], [8, 5, 1], [21, 4, 16], [14, 0, 9]]
[[24, 16, 4], [14, 21, 19], [9, 26, 5], [7, 0, 13], [2, 23, 11], [3, 22, 20], [1, 6, 18], [12, 25, 10], [17, 15, 8]]
[[2, 10, 12], [24, 8, 16], [13, 21, 20], [0, 9, 18], [26, 14, 6], [3, 25, 1], [17, 23, 7], [11, 5, 19], [15, 22, 4]]
[[4, 13, 6], [22, 14, 2], [8, 1, 24], [23, 10, 21], [18, 5, 15], [25, 26, 7], [16, 9, 3], [0, 11, 19], [20, 12, 17]]
[[5, 26, 4], [0, 16, 22], [19, 8, 11], [2, 21, 15], [1, 25, 9], [18, 7, 14], [6, 12, 20], [24, 13, 23], [17, 10, 3]]
[[3, 0, 25], [23, 15, 8], [24, 13, 18], [10, 19, 16], [5, 1, 4], [20, 22, 26], [6, 17, 11], [2, 21, 14], [7, 9, 12]]
[[1, 22, 6], [7, 25, 24], [17, 3, 19], [4, 14, 10], [9, 0, 23], [21, 8, 18], [16, 13, 5], [20, 26, 15], [11, 2, 12]]
[[4, 18, 24], [3, 22, 8], [0, 10, 26], [7, 21, 12], [19, 17, 1], [16, 20, 13], [11, 9, 15], [2, 23, 25], [5, 6, 14]]
[[24, 26, 3], [9, 21, 10], [18, 25, 23], [6, 14, 19], [13, 16, 4], [15, 17, 7], [8, 2, 12], [0, 1, 22], [20, 11, 5]]
[[3, 15, 14], [19, 2, 7], [8, 25, 24], [1, 22, 13], [20, 6, 16], [17, 23, 18], [21, 10, 11], [9, 4, 0], [26, 12, 5]]
